tomeID,name,level,role,objective,reward
Anniversary2022,Community: Predator or Prey,2,General,Earn a total of <b>4</b> of the following of <b>Gold Quality</b> or better as Survivor or Killer:<ul><li><b>Evader emblem(s).</b></li><li><b>Chaser emblem(s).</b></li></ul>,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Community: Callousness or Compassion,2,General,Earn a total of <b>3</b> of the following of <b>Gold Quality</b> or better as Survivor or Killer:<ul><li><b>Benevolent emblem(s).</b></li><li><b>Malicious emblem(s).</b></li></ul>,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Community: Suffer or Slaughter,2,General,Earn a total of <b>2</b> of the following of <b>Gold Quality</b> or better as Survivor or Killer:<ul><li><b>Unbroken emblem(s).</b></li><li><b>Devout emblem(s).</b></li></ul>,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Light Of The Party,2,Survivor,Finish repairing <b>5 Anniversary generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Risky Robbery,2,Survivor,Escape <b>1 trial(s)</b> with an item that was pulled out of the chest in the basement.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Fighting Back,2,Survivor,Sabotage <b>3 hook(s)</b> while in the Killer's Terror Radius.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Exposed Target,2,Killer,Hit <b>4 Survivor(s)</b> with your weapon while that Survivor is Exposed.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Wait Right Here,2,Killer,"Down <b>2 Survivors</b> within 60 seconds of each other, then hook a Survivor within 30 seconds. Do this <b>2 time(s)</b>.","[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Putting Up The Decorations,2,Killer,Hook <b>6 Survivor(s)</b> on <b>Anniversary hooks</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Be There Or Be Square,2,General,Collect <b>3 Invitation(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Earn Your Spot,2,General,Collect <b>1 Invitation(s)</b> within 60 seconds of finishing a generator repair OR hooking a Survivor.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Anniversary2022,Glyph Pursuer,2,General,Commune with <b>6 Green Glyph(s).</b>_GFX::CQGGIcon,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Anniversary2022,Bloody Rewards,2,General,Earn <b>66666 Bloodpoints</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Anniversary2022,Roll Tape and Roll Out,2,Survivor,"Escape <b>1 trial(s)</b> while using the perks <b>Inner Focus</b>, <b>Residual Manifest</b>, and <b>Overzealous</b>.","[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Anniversary2022,All Turns to Dust,2,Killer,"Finish a trial with no more than <b>1 living Survivor(s)</b> while using the perks <b>Dissolution</b>, <b>Darkness Revealed</b>, and <b>Septic Touch</b>.","[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Halloween2021,Tangled Triumph,1,Survivor,Finish repairing <b>2 tangled generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2021,Squash!,1,General,Smash <b>4 pumpkins</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2021,The Last Place You Look,1,Survivor,Unlock <b>2 chest(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2021,Bloody Good,1,Killer,Hit a Survivor with your weapon <b>13 time(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2021,Generosity,1,Survivor,Heal a total of <b>2 health state(s)</b> of other Survivors.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2021,Scrap Yard,1,Killer,Damage <b>5 generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2021,Reid's Spree,1,Survivor,Escape <b>1 trial(s)</b> as <b>Mikaela Reid</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Halloween Hook,1,Killer,Hook <b>3 Survivor(s)</b> on <b>tangled hooks</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2021,Terrified,1,Killer,Make the Survivors scream <b>13 time(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2021,Reverent,1,Killer,Sacrifice <b>4 Survivor(s)</b> to The Entity.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2021,Bloody Rewards,1,General,Earn <b>50000 Bloodpoints</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2021,Max Dexterity,1,Survivor,Get a Great result on <b>4 Skill Check(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Tangled Triumph,2,Survivor,Finish repairing <b>4 tangled generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Squash!,2,General,Smash <b>5 pumpkins</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Craft Time's Over,2,Survivor,Cleanse <b>6 Totem(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Prize Pumpkin,2,General,Get treats <b>5 time(s)</b> while smashing <b>pumpkins</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Liberator,2,Survivor,Unhook <b>6 Survivor(s)</b>. Must unhook them safely.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Drop or Chop,2,General,Complete a total of <b>20</b> of the following as Survivor or Killer:<ul><li><b>Drop pallet(s) while being chased by the Killer.</b></li><li><b>Break pallet(s).</b></li></ul>,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Healing Boon,2,Survivor,Bless <b>2 Totem(s)</b> with the perk <b>Boon: Circle of Healing</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Halloween2021,Halloween Hook,2,Killer,Hook <b>6 Survivor(s)</b> on <b>tangled hooks</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Amateur Ornithologist,2,General,Disturb <b>20 crows</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Static Sequence,2,Killer,Electrify <b>at least 2 Survivors</b> with a Static Blast ability as <b>The Doctor</b>. Do this <b>3 time(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Halloween2021,Execution,2,Killer,Kill <b>8 Survivor(s)</b> by any means.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Bloody Rewards,2,General,Earn <b>100000 Bloodpoints</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Bring the Light,2,Survivor,Repair a total of <b>10 generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Gruesome,2,Killer,Hook <b>20 Survivor(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2021,Back Off!,2,Survivor,Stun the Killer <b>2 time(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Halloween2021,Rust & Blood,2,Killer,Hook <b>4 different Survivor(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Halloween2022,Enigmatic Light,1,Survivor,Finish repairing <b>2 Esoteric generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Liberator,1,Survivor,Unhook <b>2 Survivor(s)</b>. Must unhook them safely.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Generosity,1,Survivor,Heal a total of <b>2 health state(s)</b> of other Survivors.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Craft Time's Over,1,Survivor,Cleanse <b>2 Totem(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Void Virtuous,1,Survivor,Transfer a total of <b>15 Void Energy</b> into Unstable Rifts.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Arcane Devotion,1,Killer,Hook <b>3 Survivor(s)</b> on <b>Esoteric hooks</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Scrap Yard,1,Killer,Damage <b>5 generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Bloody Good,1,Killer,Hit a Survivor with your weapon <b>8 time(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Reverent,1,Killer,Sacrifice <b>2 Survivor(s)</b> to The Entity.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Void Vicious,1,Killer,Transfer a total of <b>15 Void Energy</b> into Unstable Rifts.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Hefty Deposit,1,General,Transfer <b>10 Void Energy</b> or more into a single Unstable Rift.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Bronze Run,1,General,Earn <b>4 emblem(s)</b> of <b>Bronze quality</b> or better.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Community: Humble Deposit,1,General,"With the community, transfer <b>5 Void Energy</b> or more into a single Unstable Rift <b>1 time(s)</b>.","[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Community: Squash!,1,General,Smash <b>2 pumpkins</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Halloween2022,Enigmatic Light,2,Survivor,Finish repairing <b>4 Esoteric generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Strategic Alliance,2,Survivor,Perform a cooperative action for <b>90 second(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Take Back The Power,2,Survivor,Collect <b>6 Void Energy</b> from stunning the Killer by any means.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Escape Artist,2,Survivor,Escape <b>2 trial(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Machinist,2,Survivor,Finish repairing <b>2 generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Halloween2022,Rust & Blood,2,Killer,Hook <b>4 different Survivor(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Halloween2022,Arcane Devotion,2,Killer,Hook <b>6 Survivor(s)</b> on <b>Esoteric hooks</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Knockout,2,Killer,Knock down <b>8 Survivor(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Unleash the Rage,2,Killer,"Break <b>15</b> walls, pallets or generators.","[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Void Bully,2,Killer,Collect <b>9 Void Energy</b> from downing Survivors by any means.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Bloody Rewards,2,General,Earn <b>50000 Bloodpoints</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Prize Pumpkin,2,General,Get treats <b>2 time(s)</b> while smashing <b>pumpkins</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Halloween2022,Community: Huge Deposit,2,General,"With the community, transfer <b>15 Void Energy</b> into a single Unstable Rift <b>1 time(s)</b>.","[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Halloween2022,Community: Open the Rift,2,General,"With the community, transfer a total of <b>30 Void Energy</b> into Unstable Rifts <b>30 time(s)</b>.","[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Tome01,Bloody Rewards,1,General,Earn <b>50000 Bloodpoints</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,Amateur Ornithologist,1,General,Disturb <b>25 crows</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,Dark Triumph,1,Killer,Sacrifice <b>1 Survivor(s)</b> during the Endgame Collapse.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Tome01,Mechanical Obsession,1,Killer,Damage the same generator <b>2 times</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Tome01,None Shall Survive,1,Killer,Kill all Survivors in a trial <b>1 time(s)</b> by any means.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Tome01,Hungry Jaws,1,Killer,Catch a Survivor in a Bear Trap <b>2 time(s)</b> as <b>The Trapper</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Tome01,Brutal Breaker,1,Killer,Damage a generator or destroy a dropped pallet <b>5 time(s)</b> while using the perk <b>Brutal Strength</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Tome01,Gruesome,1,Killer,Hook <b>8 Survivor(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,Reverent,1,Killer,Sacrifice <b>5 Survivor(s)</b> to The Entity.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,Scrap Yard,1,Killer,Damage <b>6 generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,Savior,1,Survivor,Unhook <b>2 Survivor(s)</b>. Must unhook them safely.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Tome01,Empathic,1,Survivor,Completely heal <b>2 health state(s)</b> of any Survivor while using the perk <b>Empathy</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Tome01,Plunder King,1,Survivor,Unlock <b>3 chest(s)</b> while using the perk <b>Plunderer's Instinct</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Tome01,This Is Happening,1,Survivor,Get a Great result on <b>3 Skill Check(s)</b> while using the perk <b>This Is Not Happening</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Tome01,Claudette's Determination,1,Survivor,"As <b>Claudette Morel</b>, escape a trial.","[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
Tome01,Bring the Light,1,Survivor,Repair a total of <b>2 generator(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,Skilled Operator,1,Survivor,Succeed at <b>20 Skill Check(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,Craft Time's Over,1,Survivor,Cleanse <b>8 Totem(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,The Last Place You Look,1,Survivor,Unlock <b>5 chest(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,Liberator,1,Survivor,Unhook <b>5 Survivor(s)</b>. Must unhook them safely.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,Patched Up,1,Survivor,Completely heal <b>4 health state(s)</b> of any Survivor.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 15000}]"
Tome01,Manifest Distress,2,Killer,Chase Survivors for a total of <b>90 second(s)</b> while using the perk <b>Distressing</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Tome01,Agitated Advantage,2,Killer,Hook <b>2 Survivor(s)</b> in the basement while using the perk <b>Agitation</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Tome01,Hungry Jaws,2,Killer,Catch a Survivor in a Bear Trap <b>4 time(s)</b> as <b>The Trapper</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Tome01,Got You,2,Killer,Interrupt and grab <b>1 Survivor(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Tome01,Enlightened,2,Survivor,Blind the Killer <b>2 time(s)</b>.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 5}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 35000}]"
Tome01,Reverent,2,Killer,Sacrifice <b>13 Survivor(s)</b> to The Entity.,"[{'type': 'currency', 'id': 'riftfragments', 'amount': 3}, {'type': 'currency', 'id': 'bloodpoints', 'amount': 25000}]"
