id,name,description,collection,role,rarity,image
DR_006,News Chopper 5,Proof that zombies can't pilot helicopters.,Green Flu,Survivor,Rare,images/Customization/Charms/DR_006.png
DR_007,The Locker,The favorite location of your teammate.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/DR_007.png
DR_008,Bill Overbeck Figurine,"Being brave doesn't mean you're not scared. It means you're scared as hell, and then you pick up the shotgun anyway.",Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/DR_008.png
DR_009,Recruiting Poster,A design that Bill remembers from back before his hair greyed.,Green Flu,Survivor,Uncommon,images/Customization/Charms/DR_009.png
DR_010,Sea Goat Effigy,"An ancient artifact from a religion that worshipped Assyrian, Sumerian, and Babylonian gods.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/DR_010.png
DR_011,Gilded Sea Goat,"A golden figure of the sea goat, said to be the God of Water and Creation.",Killer Memorabilia,Killer,Very Rare,images/Customization/Charms/DR_011.png
DR_012,Left 4 Dead,Somehow it feels more important than just any mangled zombie hand.,Green Flu,General,Uncommon,images/Customization/Charms/DR_012.png
DR_013,Bravoshot H31-X,A digital camera that's never far from Zarina.,Survivor Memorabilia,Survivor,Common,images/Customization/Charms/DR_013.png
DR_014,Coin of the Sea Goat,An ancient coin purchased by the wealthy to prove their devotion.,Killer Memorabilia,Killer,Common,images/Customization/Charms/DR_014.png
DR_015,Exit Gate,"Don't let it fool you, leaving is never that easy.",Mementos of Prominence,General,Common,images/Customization/Charms/DR_015.png
DR_016,Gnome Chompski,What's this guy doing in The Entity's realm?,Green Flu,General,Rare,images/Customization/Charms/DR_016.png
DR_017,Karina's Coffee,"The Z in her name seemed beyond the comprehension of many, and Zarina found that she was often Karina.",Survivor Memorabilia,Survivor,Common,images/Customization/Charms/DR_017.png
DR_018,Hush Dagger,A ceremonial dagger used to slice the tongue from a blasphemer.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/DR_018.png
DR_019,Tablet of the Priestess,An ancient tablet that depicts the High Priestess of Babylon purifying the masses.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/DR_019.png
DR_020,The Boomer,A zombie nearly bursting with bile. Reminiscent of the time Mom undercooked the thanksgiving turkey.,Horrible Dolls,Killer,Rare,images/Customization/Charms/DR_020.png
DR_021,Blood Moon,"An ominous sign, dripping in blood...",Mementos of Prominence,General,Ultra Rare,images/Customization/Charms/DR_021.png
DR_022,Golden Doc Award,The first trophy Zarina won for her documentary work.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/DR_022.png
DR_023,Pained Devotee,"She took the words as truth and, as much as it pained her, accepted the necessity of spilt blood.",A Return to Form,Killer,Common,images/Customization/Charms/DR_023.png
DR_024,Troubled Devotee,She did not understand how her mentor could question the gods.,A Return to Form,Killer,Common,images/Customization/Charms/DR_024.png
DR_025,Sinful Devotee,She lied to the Maiden Guard to protect the man who raised her.,A Return to Form,Killer,Common,images/Customization/Charms/DR_025.png
DR_026,Renewed Devotee,"She begged the gods for an answer, and it arrived as a whisper, angry and thirsting for blood.",A Return to Form,Killer,Common,images/Customization/Charms/DR_026.png
DR_027,Uncompromising Devotee,"She allowed the whisper to influence her, no matter how difficult it pained her.",A Return to Form,Killer,Uncommon,images/Customization/Charms/DR_027.png
DR_028,Besieged Soldier,"The world was snafued, and he was in the middle of it.",A Return to Form,Survivor,Common,images/Customization/Charms/DR_028.png
DR_029,United Soldier,"He found other survivors, even though one of them was a loudmouthed blowhard.",A Return to Form,Survivor,Common,images/Customization/Charms/DR_029.png
DR_030,Valiant Soldier,"He fought alongside the others, freeing a young man from a perilous situation.",A Return to Form,Survivor,Common,images/Customization/Charms/DR_030.png
DR_031,Experienced Soldier,He was a value to his squad and he knew how to keep them in line.,A Return to Form,Survivor,Common,images/Customization/Charms/DR_031.png
DR_032,Strong-Willed Soldier,"He was ready, able to act on instinct. A part of himself even missed this feeling.",A Return to Form,Survivor,Uncommon,images/Customization/Charms/DR_032.png
DR_033,Rainbow Flag,Wear it with pride!,Pride 2021,General,Uncommon,images/Customization/Charms/DR_033.png
DR_034,Skeletal Crow,"An unlucky crow, stripped to its bones in the Observer's tower.",The Desolate Prisoner,General,Rare,images/Customization/Charms/DR_034.png
EC_001,Umbrella Corporation,The rusted logo of the biomedical multinational Umbrella Corporation.,Resident Evil,General,Uncommon,images/Customization/Charms/EC_001.png
EC_002,Bloodied Token,A crusted fragment of blood that holds great importance in the realm.,Mementos of Prominence,General,Uncommon,images/Customization/Charms/EC_002.png
EC_003,Naughty Piñata,It would be dangerous not to invite this bear to the party.,5th Anniversary,General,Rare,images/Customization/Charms/EC_003.png
EC_004,5 Year Candles,A candle for every year in The Entity’s realm.,5th Anniversary,General,Uncommon,images/Customization/Charms/EC_004.png
EC_005,Death Omen,"An engraved skull with hollowed eyes, an omen of death.",Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/EC_005.png
EC_006,Orb of Worlds,"An orb made of toothed cogwheels, each meshing with the other to power up a dark energy.",Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/EC_006.png
FL_001,Forgotten Horror,Thick layers of rot and decay make it impossible to distinguish what’s within.,Deliverance,General,Uncommon,images/Customization/Charms/FL_001.png
FL_002,Emerging Horror,This was more than rotting pages. This was an invitation to a universe of tales.,Deliverance,General,Rare,images/Customization/Charms/FL_002.png
FL_003,Living Horror,"There was something real within the pages, as if they told a truth of some kind.",Deliverance,General,Very Rare,images/Customization/Charms/FL_003.png
FL_004,Pulp Horror,"The stories were terrifying, but they held answers to mysteries within the horror.",Deliverance,General,Ultra Rare,images/Customization/Charms/FL_004.png
FL_005,Busted GPS,A casualty of Jake Park’s rugged survivalist lifestyle.,Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/FL_005.png
FL_006,Sandy Castle,"A pleasant image, but once a wave hits all the sand people inside will surely die.",Blissful Summer,Survivor,Rare,images/Customization/Charms/FL_006.png
FL_007,Well-Fed Tick,A tick bloated on the blood of Jake Park.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/FL_007.png
FL_008,Jake Figurine,A calm spirit can only go so far when you’ve got dinner to protect.,Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/FL_008.png
FL_009,Jake’s Compass,"The compass had acted strangely, as if leading Jake into the Fog.",Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/FL_009.png
FL_010,Finger Lickers Bucket,"A bucket of deep-fried fingers, straight from the carnival’s deep fryers.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/FL_010.png
FL_011,The Mystical Attraction,The circus was full of tricks no sane individual could foresee.,Killer Memorabilia,Killer,Very Rare,images/Customization/Charms/FL_011.png
FL_012,Golden Pineapple,An image so fresh and tantalizing that it’s starkly out of place in this realm.,Blissful Summer,General,Uncommon,images/Customization/Charms/FL_012.png
FL_013,Watchful Gargoyle,A stone carving that looked on as Élodie explored the streets below.,Survivor Memorabilia,Survivor,Common,images/Customization/Charms/FL_013.png
FL_014,VHS Porn,An all-time classic that’s one of Jeffrey Hawk’s most valued possessions.,Killer Memorabilia,Killer,Common,images/Customization/Charms/FL_014.png
FL_015,Tropical Hammock,A simple comfort from a memory long ago...,Blissful Summer,General,Common,images/Customization/Charms/FL_015.png
FL_016,Pool Floaty,An intensely disturbing floatation device that may be more interested in drowning you.,Blissful Summer,General,Rare,images/Customization/Charms/FL_016.png
FL_017,Élodie’s Map,An urban landscape littered with marks and arrows to explore.,Survivor Memorabilia,Survivor,Common,images/Customization/Charms/FL_017.png
FL_018,Wooden Rabbit Mask,"An early design of The Huntress’ mask, carved into scratched and chipped wood.",Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/FL_018.png
FL_019,Trophy Box,A grim collection of human fingers and animal parts.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/FL_019.png
FL_020,Nesting Doll,"Within the larger figure is a young child, clinging to her doll.",Forgotten Toys,Killer,Rare,images/Customization/Charms/FL_020.png
FL_021,Spherical Bloodweb,"A phenomenon of The Entity’s realm, mysterious and pulsing with blood.",Mementos of Prominence,General,Ultra Rare,images/Customization/Charms/FL_021.png
FL_022,Rakoto Family’s Valiha,"Though broken, the musical instrument served as a memento to Élodie following her parent’s disappearance.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/FL_022.png
FL_023,The Resentful Jester,He was angry at the world... and a raccoon too.,Deliverance,Killer,Common,images/Customization/Charms/FL_023.png
FL_024,The Tempted Jester,He saw what could only be described as a treasure.,Deliverance,Killer,Common,images/Customization/Charms/FL_024.png
FL_025,The Terrifying Jester,Much of the thrill came from the hunt itself.,Deliverance,Killer,Common,images/Customization/Charms/FL_025.png
FL_026,The Unwavering Jester,"He knew what he wanted, and no amount of talk could change his mind.",Deliverance,Killer,Common,images/Customization/Charms/FL_026.png
FL_027,The Fulfilled Jester,It’s true... the best jokes are when someone gets hurt.,Deliverance,Killer,Uncommon,images/Customization/Charms/FL_027.png
FL_028,The Isolated Survivalist,"Having escaped to nature, he was free from the pressures of society.",Deliverance,Survivor,Common,images/Customization/Charms/FL_028.png
FL_029,The Starving Survivalist,He knew there would be challenges. Primal challenges.,Deliverance,Survivor,Common,images/Customization/Charms/FL_029.png
FL_030,The Desperate Survivalist,"To live, something else must die.",Deliverance,Survivor,Common,images/Customization/Charms/FL_030.png
FL_031,The Bloody Survivalist,"He fought, and he didn’t know on which side of the battle he’d end up.",Deliverance,Survivor,Common,images/Customization/Charms/FL_031.png
FL_032,The Battle-Hardened Survivalist,"He would live another day, but it wasn't getting easier...",Deliverance,Survivor,Uncommon,images/Customization/Charms/FL_032.png
FL_033,Greek Trial,An ancient depiction of a monstrous creature tormenting four victims.,Greek Legends,General,Uncommon,images/Customization/Charms/FL_033.png
FL_034,The Gorgon,A terrifying creature of Greek myth. One gaze is enough to petrify.,Greek Legends,General,Rare,images/Customization/Charms/FL_034.png
FL_035,Mooncake,A Chinese pastry that celebrates the moon.,Lunar New Year 2021,General,Uncommon,images/Customization/Charms/FL_035.png
GE_001,Arcade Classic,A gruesome game of life and death. But mostly death...,Video Game Day,General,Very Rare,images/Customization/Charms/GE_001.png
GE_002,Lament Configuration,An invitation to pleasure and pain.,Hellraiser,General,Rare,images/Customization/Charms/GE_002.png
HU_001,Universal Stasis,The Observer’s model of a universe devoid of auric energy.,Crescendo,General,Uncommon,images/Customization/Charms/HU_001.png
HU_002,Universal Catalyst,A model of a universe birthing auric energy.,Crescendo,General,Rare,images/Customization/Charms/HU_002.png
HU_003,Universal Chaos,"A model depicting a vibrant universe bursting with the chaos of life, death, and the existence in between.",Crescendo,General,Very Rare,images/Customization/Charms/HU_003.png
HU_004,Universal Terminus,A model of a universe consuming itself. Oddly beautiful.,Crescendo,General,Ultra Rare,images/Customization/Charms/HU_004.png
HU_005,Champagne on Ice,A celebration to the success of No Spin after the addition of Ji-Woon Hak.,Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/HU_005.png
HU_006,Magnum Opus Lightstick,"Usually reserved for K-pop artists, Yun-Jin held a special celebrity status that was cause for her own lightstick.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/HU_006.png
HU_007,Laser Bear’s Gamepad,"A limited-edition gamepad featuring Feng Min’s esports team, the Laser Bears.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/HU_007.png
HU_008,Yun-Jin Lee Figurine,Sometimes in business you’ve got to put your foot down and get tough.,Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/HU_008.png
HU_009,Shining Lion Avatar,"Feng Min’s avatar, owing to her nickname, “The Shining Lion.”",Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/HU_009.png
HU_010,No Spin Jet,"When you hit the big times, you fly in style.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/HU_010.png
HU_011,No Spin Lightstick,Memorabilia for a musical group from South Korea. Four of five members died in a studio fire.,Killer Memorabilia,Killer,Very Rare,images/Customization/Charms/HU_011.png
HU_012,Soundwave,Music so mesmerizing you can see it.,Main Stage,General,Uncommon,images/Customization/Charms/HU_012.png
HU_013,Mightee One Earbuds,"An officially licensed pair of earbuds. Same product, extra cost.",Survivor Memorabilia,Survivor,Common,images/Customization/Charms/HU_013.png
HU_014,Doctor’s Chess Game,"Herman Carter enjoyed a good game of chess, and the power he felt after weakening an opponent.",Killer Memorabilia,Killer,Common,images/Customization/Charms/HU_014.png
HU_015,The Trickster Concert Ticket,A ticket to The Trickster’s concert stop in Brazil.,Main Stage,General,Uncommon,images/Customization/Charms/HU_015.png
HU_016,Murdered Turkey,"Decapitated, gutted, and stabbed. An altogether bad day for this bird.",Thanksgiving 2021,General,Rare,images/Customization/Charms/HU_016.png
HU_017,Mightee One Entertainment,The logo of one South Korea’s top record labels. It has direct ties to Yun-Jin Lee and Ji-Woon Hak.,Survivor Memorabilia,Survivor,Common,images/Customization/Charms/HU_017.png
HU_018,Ji-Woon Photocard,"A photocard of Ji-Woon Hak, it became a popular collectible among his fans.",Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/HU_018.png
HU_019,Heartrate Monitor,The Doctor’s experiments usually ended with flat lines.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/HU_019.png
HU_020,Mightee One Music Pad,A tool used by Yun-Jin and The Trickster when producing music.,Main Stage,General,Ultra Rare,images/Customization/Charms/HU_020.png
HU_021,Laser Bear Logo,"The logo of Feng Min’s esports team. While representing the Laser Bears, she became the Nebula Arc champion.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/HU_021.png
HU_022,The Prowling Performer,"The desire to create agonizing art surfaced again, and a victim had been chosen...",Crescendo,Killer,Common,images/Customization/Charms/HU_022.png
HU_023,The Manipulative Performer,"He cried tears for his deceased bandmates, but inside he was laughing hysterically.",Crescendo,Killer,Common,images/Customization/Charms/HU_023.png
HU_024,The Evasive Performer,"The game was far from over, and he’d do anything to keep from being caught.",Crescendo,Killer,Common,images/Customization/Charms/HU_024.png
HU_025,The Conniving Performer,He set his victim free and took a punch to the face. This would be his best trick yet.,Crescendo,Killer,Common,images/Customization/Charms/HU_025.png
HU_026,The Innocent Performer,He played himself off as the victim. He couldn’t let them find out.,Crescendo,Killer,Uncommon,images/Customization/Charms/HU_026.png
HU_027,The Ambitious Producer,She had bigger dreams and it would require some strategic moves to reach them.,Crescendo,Survivor,Common,images/Customization/Charms/HU_027.png
HU_028,The Frustrated Producer,Dealing with The Trickster was becoming much more than a full-time job.,Crescendo,Survivor,Common,images/Customization/Charms/HU_028.png
HU_029,The Disturbed Producer,She found signs that The Trickster’s darkness ran deeper than she thought.,Crescendo,Survivor,Common,images/Customization/Charms/HU_029.png
HU_030,The Relentless Producer,"She’d keep the pedal to the floor, literally, if it meant figuring out what The Trickster was up to.",Crescendo,Survivor,Common,images/Customization/Charms/HU_030.png
HU_031,The Untrusting Producer,"The seed of doubt had been planted. Every time she looked at The Trickster, an alarm in her head went off.",Crescendo,Survivor,Uncommon,images/Customization/Charms/HU_031.png
HU_032,Blood Bag,Useful for when The Doctor kept a subject alive to prolong the torture.,Killer Memorabilia,Killer,Rare,images/Customization/Charms/HU_032.png
HU_033,Bing Bong Boo,Who’s the spooky ghost under the sheet?,The Midnight Grove,Survivor,Special Event,images/Customization/Charms/HU_033.png
HU_034,Neacrow,A streetwise effigy that keeps the crows away.,The Midnight Grove,Killer,Special Event,images/Customization/Charms/HU_034.png
HU_035,Black Cat,A cat with a smart fashion sense.,The Midnight Grove,General,Special Event,images/Customization/Charms/HU_035.png
HU_036,Heart in a Cage,"In the end, we’re nothing but captive hearts.<br><br>Design inspired by <b>Cozaco</b>.",Community,Killer,Very Rare,images/Customization/Charms/HU_036.png
HU_037,Pocket Entity,An unusual gaming device from another dimension. Remember to feed your Entity!<br><br>Design inspired by <b>Chessa</b>.,Community,Survivor,Very Rare,images/Customization/Charms/HU_037.png
HU_038,Saw Blade Spiral,An unusual shape found in The Entity’s realm. It often leads to terror.,The Book of Saw,General,Rare,images/Customization/Charms/HU_038.png
HU_039,Knight’s Helm,"A relic from a faraway place, where factions battle for survival.",For Honor,General,Rare,images/Customization/Charms/HU_039.png
HU_041,Kabuki Grin,A rare kabuki mask that only materializes in a small number of dimensions.,Lost Artifacts,General,Artifact,images/Customization/Charms/HU_041.png
HU_042,Twitch,An unusual design that may mean something to those in another universe.,Horror Stream,General,Uncommon,images/Customization/Charms/HU_042.png
IO_001,Gift Hatch,"It’s all yours, whether you want to escape with it or kick it shut.",Bone Chill,General,Special Event,images/Customization/Charms/IO_001.png
IO_002,Christmas Inferno,A snowman who won’t be around next year.,Bone Chill,Killer,Special Event,images/Customization/Charms/IO_002.png
IO_003,Cocoa Dip,"A marshmallow figure floating happily in cocoa, ignorant to his impending demise.",Bone Chill,Survivor,Special Event,images/Customization/Charms/IO_003.png
IO_004,Auric Cell,"A small, glowing fragment that holds the immense power of creation.",Mementos of Prominence,General,Ultra Rare,images/Customization/Charms/IO_004.png
JU_001,Arachnid Egg,Here begins the infestation.,Terra Arachna,General,Uncommon,images/Customization/Charms/JU_001.png
JU_002,Arachnid Hatchling,"From the cocoon-like egg emerges wiry, spindly legs.",Terra Arachna,General,Rare,images/Customization/Charms/JU_002.png
JU_003,Arachnid Predator,"Though newly born, it is already prepared to feast.",Terra Arachna,General,Very Rare,images/Customization/Charms/JU_003.png
JU_004,Arachnid Mother,One day its spiderlings will spill across the realm.,Terra Arachna,General,Ultra Rare,images/Customization/Charms/JU_004.png
JU_005,Conundrum of Carnage,A book published by Pamela Jenkins that may not hold up to fact checks.,The Book of Saw,Survivor,Uncommon,images/Customization/Charms/JU_005.png
JU_006,Play Me,"""Dr. Gordon, this is your wake-up call.""",The Book of Saw,Survivor,Rare,images/Customization/Charms/JU_006.png
JU_007,Cupid’s Ship,A ship that carries hope for love.,Valentine’s 2022,Survivor,Rare,images/Customization/Charms/JU_007.png
JU_008,Detective Tapp Figurine,"An intriguing clue, but try not to obsess over it too much.",Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/JU_008.png
JU_009,Toilet Heart,Sometimes following your heart doesn’t take you where you’d like.,The Book of Saw,General,Uncommon,images/Customization/Charms/JU_009.png
JU_010,Original Pig,"A mask from the Chinese market, it was the first of many used in Jigsaw’s crusade.",The Book of Saw,Killer,Rare,images/Customization/Charms/JU_010.png
JU_011,Invitation to Play,"""Do you want to play a game?""",The Book of Saw,Killer,Very Rare,images/Customization/Charms/JU_011.png
JU_012,Padlock,"To unlock it, ask yourself: What are you willing to do in order to live?",The Book of Saw,General,Uncommon,images/Customization/Charms/JU_012.png
JU_013,Survivor’s Sweet,A sweet treat for the one you’d sacrifice yourself for.,Valentine’s 2022,Survivor,Common,images/Customization/Charms/JU_013.png
JU_014,Killer's Sweet,What lengths would you go to for love?,Valentine’s 2022,Killer,Common,images/Customization/Charms/JU_014.png
JU_015,Gideon Meat Packing,The slaughterhouse closed but the killings continued.,The Book of Saw,General,Common,images/Customization/Charms/JU_015.png
JU_016,Mr. Snuggles,"""Until you come clean, many more will die.""",The Book of Saw,General,Rare,images/Customization/Charms/JU_016.png
JU_017,Slain Riot,"A pin from Nea’s favorite punk rock band, Slain Riot.",Counterculture,Survivor,Common,images/Customization/Charms/JU_017.png
JU_018,Smiling Bobby,How could you say no to a smile like that?,The Book of Saw,Killer,Uncommon,images/Customization/Charms/JU_018.png
JU_019,Coldwind Harvester,This combine has harvested more than crops.,Coldwind Farm,Killer,Uncommon,images/Customization/Charms/JU_019.png
JU_020,Meat Tree,Call the crows. The feast is ready.,Coldwind Farm,Killer,Rare,images/Customization/Charms/JU_020.png
JU_021,Tricycle Billy,A jovial puppet that carries a very serious message.,The Book of Saw,General,Ultra Rare,images/Customization/Charms/JU_021.png
JU_022,Rotten the Cat,"Nea’s kitty, Rotten, dressed in his favorite punk rock outfit.",Counterculture,Survivor,Rare,images/Customization/Charms/JU_022.png
JU_023,Test of Loyalty,She would prove herself as the only rightful successor of Jigsaw.,The Book of Saw,Killer,Common,images/Customization/Charms/JU_023.png
JU_024,Test of Design,Rotten entrails were poured in the tunnel that collected the Gideon meatpacking plant's wastewater.,The Book of Saw,Killer,Common,images/Customization/Charms/JU_024.png
JU_025,Test of Configuration,"Blood dribbled from a brick wall, displaying an elaborate drawing as the key to salvation.",The Book of Saw,Killer,Common,images/Customization/Charms/JU_025.png
JU_026,Test of Judgement,"To become Jigsaw's successor, she made her own decisions.",The Book of Saw,Killer,Common,images/Customization/Charms/JU_026.png
JU_027,Test of Execution,"Fueled with adrenaline, she put on the mask once more.",The Book of Saw,Killer,Uncommon,images/Customization/Charms/JU_027.png
JU_028,Evidence of Turmoil,"Detective Tapp planned to vacation with his wife, but he couldn't leave now...",The Book of Saw,Survivor,Common,images/Customization/Charms/JU_028.png
JU_029,Evidence of Crime,"From inside the abandoned factory, a scream cried out.",The Book of Saw,Survivor,Common,images/Customization/Charms/JU_029.png
