riftID,number,type,reward
Tome02,35,Free,"[{'amount': 1, 'id': 'MT_Torso002_03', 'type': 'item'}]"
Tome02,39,Free,"[{'amount': 1, 'id': 'GK_Body010', 'type': 'item'}]"
Tome02,43,Free,"[{'amount': 1, 'id': 'TR_W01_02', 'type': 'item'}]"
Tome02,47,Free,"[{'amount': 1, 'id': 'FM_Torso010', 'type': 'item'}]"
Tome02,51,Free,"[{'amount': 1, 'id': 'KK_Body01_02', 'type': 'item'}]"
Tome02,55,Free,"[{'amount': 1, 'id': 'HK_W009', 'type': 'item'}]"
Tome02,59,Free,"[{'amount': 1, 'id': 'AV_Torso003_03', 'type': 'item'}]"
Tome02,63,Free,"[{'amount': 1, 'id': 'DK_Head010', 'type': 'item'}]"
Tome02,66,Free,"[{'amount': 1, 'id': 'GK_W010', 'type': 'item'}]"
Tome02,69,Free,"[{'amount': 1, 'id': 'TO_016', 'type': 'item'}]"
Tome02,70,Free,"[{'amount': 1, 'id': 'FM_Head010', 'type': 'item'}]"
Tome02,1,Premium,"[{'amount': 1, 'id': 'TO_008', 'type': 'item'}, {'amount': 1, 'id': 'TO_011', 'type': 'item'}, {'amount': 1, 'id': 'TO_022', 'type': 'item'}]"
Tome02,2,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,3,Premium,"[{'amount': 1, 'id': 'CM_Head001_03', 'type': 'item'}]"
Tome02,4,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,5,Premium,"[{'amount': 1, 'id': 'TO_019', 'type': 'item'}]"
Tome02,6,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,7,Premium,"[{'amount': 1, 'id': 'JP_Torso012', 'type': 'item'}]"
Tome02,8,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,9,Premium,"[{'amount': 1, 'id': 'DO_W010', 'type': 'item'}]"
Tome02,10,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,11,Premium,"[{'amount': 1, 'id': 'TO_029', 'type': 'item'}]"
Tome02,12,Premium,"[{'amount': 1, 'id': 'TW_Head03_03', 'type': 'item'}]"
Tome02,13,Premium,"[{'amount': 1, 'id': 'TO_015', 'type': 'item'}]"
Tome02,14,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,15,Premium,"[{'amount': 1, 'id': 'JP_Head012', 'type': 'item'}]"
Tome02,16,Premium,"[{'amount': 1, 'id': 'TO_024', 'type': 'item'}]"
Tome02,17,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,18,Premium,"[{'amount': 1, 'id': 'MS_Head011', 'type': 'item'}]"
Tome02,19,Premium,"[{'amount': 1, 'id': 'GK_Head02_03', 'type': 'item'}]"
Tome02,20,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,21,Premium,"[{'amount': 1, 'id': 'DO_Body010', 'type': 'item'}]"
Tome02,22,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,23,Premium,"[{'amount': 1, 'id': 'JP_Legs012', 'type': 'item'}]"
Tome02,24,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,25,Premium,"[{'amount': 1, 'id': 'TO_030', 'type': 'item'}]"
Tome02,26,Premium,"[{'amount': 1, 'id': 'GK_Body02_03', 'type': 'item'}]"
Tome02,27,Premium,"[{'amount': 1, 'id': 'MS_Legs011', 'type': 'item'}]"
Tome02,28,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,29,Premium,"[{'amount': 1, 'id': 'DO_Head010', 'type': 'item'}]"
Tome02,30,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,31,Premium,"[{'amount': 1, 'id': 'DK_Torso010', 'type': 'item'}]"
Tome02,32,Premium,"[{'amount': 1, 'id': 'TO_025', 'type': 'item'}]"
Tome02,33,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,34,Premium,"[{'amount': 1, 'id': 'MS_Torso011', 'type': 'item'}]"
Tome02,35,Premium,"[{'amount': 1, 'id': 'HK_Body009', 'type': 'item'}]"
Tome02,36,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome02,37,Premium,"[{'amount': 1, 'id': 'BE_Body006_02', 'type': 'item'}]"
Tome02,38,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,39,Premium,"[{'amount': 1, 'id': 'DK_Legs010', 'type': 'item'}]"
Tome02,40,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,41,Premium,"[{'amount': 1, 'id': 'TO_031', 'type': 'item'}]"
Tome02,42,Premium,"[{'amount': 1, 'id': 'GS_Head02_02', 'type': 'item'}]"
Tome02,43,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,44,Premium,"[{'amount': 1, 'id': 'GK_W02_03', 'type': 'item'}]"
Tome02,45,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,46,Premium,"[{'amount': 1, 'id': 'TO_006', 'type': 'item'}]"
Tome02,47,Premium,"[{'amount': 1, 'id': 'HK_Head009', 'type': 'item'}]"
Tome02,48,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,49,Premium,"[{'amount': 1, 'id': 'TO_026', 'type': 'item'}]"
Tome02,50,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,51,Premium,"[{'amount': 1, 'id': 'GS_Torso02_02', 'type': 'item'}]"
Tome02,52,Premium,"[{'amount': 1, 'id': 'WI_Head04_01', 'type': 'item'}]"
Tome02,53,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,54,Premium,"[{'amount': 1, 'id': 'FM_Legs002_03', 'type': 'item'}]"
Tome02,55,Premium,"[{'amount': 1, 'id': 'TO_032', 'type': 'item'}]"
Tome02,56,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,57,Premium,"[{'amount': 1, 'id': 'TO_020', 'type': 'item'}]"
Tome02,58,Premium,"[{'amount': 1, 'id': 'TO_033', 'type': 'item'}]"
Tome02,59,Premium,"[{'amount': 1, 'id': 'WI_Body04_01', 'type': 'item'}]"
Tome02,60,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,61,Premium,"[{'amount': 1, 'id': 'GS_Legs02_02', 'type': 'item'}]"
Tome02,62,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,63,Premium,"[{'amount': 1, 'id': 'TO_027', 'type': 'item'}]"
Tome02,64,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,65,Premium,"[{'amount': 1, 'id': 'TO_007', 'type': 'item'}]"
Tome02,66,Premium,"[{'amount': 1, 'id': 'KS_Torso02_02', 'type': 'item'}]"
Tome02,67,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,68,Premium,"[{'amount': 1, 'id': 'WI_W04_01', 'type': 'item'}]"
Tome02,69,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome02,70,Premium,"[{'amount': 1, 'id': 'TO_021', 'type': 'item'}]"
Tome03,2,Free,"[{'amount': 1, 'id': 'VI_023', 'type': 'item'}]"
Tome03,4,Free,"[{'amount': 1, 'id': 'VI_028', 'type': 'item'}]"
Tome03,7,Free,"[{'amount': 1, 'id': 'HK_W01_05', 'type': 'item'}]"
Tome03,9,Free,"[{'amount': 1, 'id': 'VI_012', 'type': 'item'}]"
Tome03,12,Free,"[{'amount': 1, 'id': 'VI_019', 'type': 'item'}]"
Tome03,15,Free,"[{'amount': 1, 'id': 'FM_Torso01_04', 'type': 'item'}]"
Tome03,19,Free,"[{'amount': 1, 'id': 'VI_018', 'type': 'item'}]"
Tome03,23,Free,"[{'amount': 1, 'id': 'VI_006', 'type': 'item'}]"
Tome03,27,Free,"[{'amount': 1, 'id': 'VI_005', 'type': 'item'}]"
Tome03,31,Free,"[{'amount': 1, 'id': 'HK_Head01_05', 'type': 'item'}]"
Tome03,35,Free,"[{'amount': 1, 'id': 'FM_Head001_03', 'type': 'item'}]"
Tome03,39,Free,"[{'amount': 1, 'id': 'FM_Legs01_04', 'type': 'item'}]"
Tome03,43,Free,"[{'amount': 1, 'id': 'VI_013', 'type': 'item'}]"
Tome03,47,Free,"[{'amount': 1, 'id': 'VI_020', 'type': 'item'}]"
Tome03,52,Free,"[{'amount': 1, 'id': 'VI_017', 'type': 'item'}]"
Tome03,55,Free,"[{'amount': 1, 'id': 'BE_W011', 'type': 'item'}]"
Tome03,60,Free,"[{'amount': 1, 'id': 'VI_015', 'type': 'item'}]"
Tome03,63,Free,"[{'amount': 1, 'id': 'GS_Torso012', 'type': 'item'}]"
Tome03,66,Free,"[{'amount': 1, 'id': 'VI_009', 'type': 'item'}]"
Tome03,68,Free,"[{'amount': 1, 'id': 'HK_Body01_05', 'type': 'item'}]"
Tome03,70,Free,"[{'amount': 1, 'id': 'FM_Head01_04', 'type': 'item'}]"
Tome03,1,Premium,"[{'amount': 1, 'id': 'GS_Head012', 'type': 'item'}, {'amount': 1, 'id': 'BE_Mask011', 'type': 'item'}, {'amount': 1, 'id': 'VI_022', 'type': 'item'}]"
Tome03,2,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,3,Premium,"[{'amount': 1, 'id': 'VI_007', 'type': 'item'}]"
Tome03,4,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,5,Premium,"[{'amount': 1, 'id': 'TC_Torso04_01', 'type': 'item'}]"
Tome03,6,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,7,Premium,"[{'amount': 1, 'id': 'DF_Torso012', 'type': 'item'}]"
Tome03,8,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,9,Premium,"[{'amount': 1, 'id': 'TN_W006_01', 'type': 'item'}]"
Tome03,10,Premium,"[{'amount': 1, 'id': 'DK_Torso003_03', 'type': 'item'}]"
Tome03,11,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,12,Premium,"[{'amount': 1, 'id': 'DF_Head012', 'type': 'item'}]"
Tome03,13,Premium,"[{'amount': 1, 'id': 'VI_024', 'type': 'item'}]"
Tome03,14,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,15,Premium,"[{'amount': 1, 'id': 'VI_011', 'type': 'item'}]"
Tome03,16,Premium,"[{'amount': 1, 'id': 'VI_029', 'type': 'item'}]"
Tome03,17,Premium,"[{'amount': 1, 'id': 'HK_Head01_04', 'type': 'item'}]"
Tome03,18,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,19,Premium,"[{'amount': 1, 'id': 'CM_Legs010_01', 'type': 'item'}]"
Tome03,20,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,21,Premium,"[{'amount': 1, 'id': 'KK_W015', 'type': 'item'}]"
Tome03,22,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,23,Premium,"[{'amount': 1, 'id': 'VI_008', 'type': 'item'}]"
Tome03,24,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,25,Premium,"[{'amount': 1, 'id': 'VI_025', 'type': 'item'}]"
Tome03,26,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,27,Premium,"[{'amount': 1, 'id': 'KK_Body015', 'type': 'item'}]"
Tome03,28,Premium,"[{'amount': 1, 'id': 'MT_Legs006_01', 'type': 'item'}]"
Tome03,29,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,30,Premium,"[{'amount': 1, 'id': 'DF_Legs012', 'type': 'item'}]"
Tome03,31,Premium,"[{'amount': 1, 'id': 'SwedenSurvivor_Head010', 'type': 'item'}]"
Tome03,32,Premium,"[{'amount': 1, 'id': 'VI_030', 'type': 'item'}]"
Tome03,33,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,34,Premium,"[{'amount': 1, 'id': 'BE_Body011', 'type': 'item'}]"
Tome03,35,Premium,"[{'amount': 1, 'id': 'HS_Legs02_01', 'type': 'item'}]"
Tome03,36,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome03,37,Premium,"[{'amount': 1, 'id': 'KK_Head015', 'type': 'item'}]"
Tome03,38,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,39,Premium,"[{'amount': 1, 'id': 'SwedenSurvivor_Torso010', 'type': 'item'}]"
Tome03,40,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,41,Premium,"[{'amount': 1, 'id': 'CM_Torso010_01', 'type': 'item'}]"
Tome03,42,Premium,"[{'amount': 1, 'id': 'MK_W007_01', 'type': 'item'}]"
Tome03,43,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,44,Premium,"[{'amount': 1, 'id': 'VI_031', 'type': 'item'}]"
Tome03,45,Premium,"[{'amount': 1, 'id': 'HS_Head02_01', 'type': 'item'}]"
Tome03,46,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,47,Premium,"[{'amount': 1, 'id': 'SwedenSurvivor_Legs010', 'type': 'item'}]"
Tome03,48,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,49,Premium,"[{'amount': 1, 'id': 'GS_Legs012', 'type': 'item'}]"
Tome03,50,Premium,"[{'amount': 1, 'id': 'VI_026', 'type': 'item'}]"
Tome03,51,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,52,Premium,"[{'amount': 1, 'id': 'CM_Head010_01', 'type': 'item'}]"
Tome03,53,Premium,"[{'amount': 1, 'id': 'WI_Hair03_02', 'type': 'item'}]"
Tome03,54,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,55,Premium,"[{'amount': 1, 'id': 'VI_032', 'type': 'item'}]"
Tome03,56,Premium,"[{'amount': 1, 'id': 'VI_014', 'type': 'item'}]"
Tome03,57,Premium,"[{'amount': 1, 'id': 'HS_Torso02_01', 'type': 'item'}]"
Tome03,58,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,59,Premium,"[{'amount': 1, 'id': 'MK_Mask007_01', 'type': 'item'}]"
Tome03,60,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,61,Premium,"[{'amount': 1, 'id': 'NK_Head001_03', 'type': 'item'}]"
Tome03,62,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,63,Premium,"[{'amount': 1, 'id': 'VI_027', 'type': 'item'}]"
Tome03,64,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,65,Premium,"[{'amount': 1, 'id': 'MK_Body007_01', 'type': 'item'}]"
Tome03,66,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,67,Premium,"[{'amount': 1, 'id': 'VI_010', 'type': 'item'}]"
Tome03,68,Premium,"[{'amount': 1, 'id': 'VI_016', 'type': 'item'}]"
Tome03,69,Premium,"[{'amount': '50', 'id': 'Cells', 'type': 'currency'}]"
Tome03,70,Premium,"[{'amount': 1, 'id': 'VI_021', 'type': 'item'}]"
Tome04,2,Free,"[{'amount': 1, 'id': 'XI_023', 'type': 'item'}]"
Tome04,4,Free,"[{'amount': 1, 'id': 'XI_028', 'type': 'item'}]"
Tome04,7,Free,"[{'amount': 1, 'id': 'DO_Body01_04', 'type': 'item'}]"
Tome04,9,Free,"[{'amount': 1, 'id': 'SwedenSurvivor_Torso02_02', 'type': 'item'}]"
Tome04,12,Free,"[{'amount': 1, 'id': 'KK_W02_02', 'type': 'item'}]"
Tome04,15,Free,"[{'amount': 1, 'id': 'DK_Legs02_01', 'type': 'item'}]"
Tome04,19,Free,"[{'amount': 1, 'id': 'DO_Head01_04', 'type': 'item'}]"
Tome04,23,Free,"[{'amount': 1, 'id': 'XI_010', 'type': 'item'}]"
Tome04,26,Free,"[{'amount': 1, 'id': 'XI_005', 'type': 'item'}]"
Tome04,31,Free,"[{'amount': 1, 'id': 'JP_Torso001_01', 'type': 'item'}]"
Tome04,33,Free,"[{'amount': 1, 'id': 'XI_019', 'type': 'item'}]"
Tome04,36,Free,"[{'amount': 1, 'id': 'DK_Head02_01', 'type': 'item'}]"
Tome04,39,Free,"[{'amount': 1, 'id': 'DO_W01_04', 'type': 'item'}]"
Tome04,43,Free,"[{'amount': 1, 'id': 'XI_015', 'type': 'item'}]"
Tome04,47,Free,"[{'amount': 1, 'id': 'DO_Head03_03', 'type': 'item'}]"
Tome04,50,Free,"[{'amount': 1, 'id': 'DK_Torso02_01', 'type': 'item'}]"
Tome04,55,Free,"[{'amount': 1, 'id': 'XI_020', 'type': 'item'}]"
Tome04,58,Free,"[{'amount': 1, 'id': 'XI_013', 'type': 'item'}]"
Tome04,63,Free,"[{'amount': 1, 'id': 'DF_Torso002_03', 'type': 'item'}]"
Tome04,68,Free,"[{'amount': 1, 'id': 'TW_W012', 'type': 'item'}]"
Tome04,70,Free,"[{'amount': 1, 'id': 'MT_Head013', 'type': 'item'}]"
Tome04,1,Premium,"[{'amount': 1, 'id': 'MT_Torso013', 'type': 'item'}, {'amount': 1, 'id': 'TW_Body012', 'type': 'item'}, {'amount': 1, 'id': 'XI_016', 'type': 'item'}]"
Tome04,2,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome04,3,Premium,"[{'amount': 1, 'id': 'TR_Mask09_02', 'type': 'item'}]"
Tome04,4,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome04,5,Premium,"[{'amount': 1, 'id': 'XI_014', 'type': 'item'}]"
Tome04,6,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome04,7,Premium,"[{'amount': 1, 'id': 'AV_Head011', 'type': 'item'}]"
Tome04,8,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome04,9,Premium,"[{'amount': 1, 'id': 'HK_Body006_04', 'type': 'item'}]"
Tome04,10,Premium,"[{'amount': 1, 'id': 'XI_017', 'type': 'item'}]"
Tome04,11,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome04,12,Premium,"[{'amount': 1, 'id': 'MS_Head008_01', 'type': 'item'}]"
Tome04,13,Premium,"[{'amount': 1, 'id': 'XI_024', 'type': 'item'}]"
Tome04,14,Premium,"[{'amount': '25', 'id': 'Cells', 'type': 'currency'}]"
Tome04,15,Premium,"[{'amount': 1, 'id': 'XI_011', 'type': 'item'}]"
