id,survivorID,killerID,name,description,role,collection,rarity,purchasable,discount,image
Adam_outfit_001,13,,Canadian Tuxedo,A different type of formal wear for denim enthusiasts.,Survivor,Urban Streetwear,Rare,1,[],images/Customization/Adam_outfit_001.png
Adam_outfit_002,13,,Autumn Seminar,Teach the world what you've learned the hard way.,Survivor,Fall Semester,Uncommon,1,[],images/Customization/Adam_outfit_002.png
Adam_outfit_003,13,,Back to School,Teach the world what you've learned the hard way.,Survivor,Fall Semester,Uncommon,1,[],images/Customization/Adam_outfit_003.png
Adam_outfit_004,13,,Teacher Colloquium,Teach the world what you've learned the hard way.,Survivor,Fall Semester,Uncommon,1,[],images/Customization/Adam_outfit_004.png
Adam_outfit_005,13,,Casual Authority,A classic look to inspire fear and respect in your pupils.,Survivor,Adam Essentials,Common,1,[],images/Customization/Adam_outfit_005.png
Adam_outfit_006,13,,Casual Authority,A classic look to inspire fear and respect in your pupils.,Survivor,Adam Essentials,Common,1,[],images/Customization/Adam_outfit_006.png
Adam_outfit_006_01,13,,Freshman,"Ready for a new semester of learning, making friends and, most importantly, staying alive.",Survivor,Wicked Wares,Very Rare,1,[],images/Customization/Adam_outfit_006_01.png
Adam_outfit_007,13,,Casual Authority,A classic look to inspire fear and respect in your pupils.,Survivor,Adam Essentials,Common,1,[],images/Customization/Adam_outfit_007.png
Adam_outfit_008,13,,Casual Authority,A classic look to inspire fear and respect in your pupils.,Survivor,Adam Essentials,Common,1,[],images/Customization/Adam_outfit_008.png
Adam_outfit_008_01,13,,Sightseer,"Keen to explore his new home, Adam spends his weekends touring Japan.",Survivor,Disparate Arts,Very Rare,1,[],images/Customization/Adam_outfit_008_01.png
Adam_outfit_009,13,,Casual Authority,A classic look to inspire fear and respect in your pupils.,Survivor,Adam Essentials,Common,1,[],images/Customization/Adam_outfit_009.png
AV_outfit_009,6,,Flying Ace,"Luck’s always out there, you just gotta get it in your crosshairs and pull that trigger.",Survivor,War Is Hell,Very Rare,1,[],images/Customization/AV_outfit_009.png
AV_outfit_010,6,,Ace Vegas,"Ace's debts sore to new heights. To get his luck back, he needed to visit his gambling mecca: Las Vegas.",Survivor,Mean Streets,Very Rare,1,[],images/Customization/AV_outfit_010.png
AV_outfit_010_01,6,,Disco’s Dead,A disco-styled outfit celebrating death.,Survivor,Halloween 2021,Uncommon,0,[],images/Customization/AV_outfit_010_01.png
AV_outfit_011,6,,Sideshow Brawler,"It wasn't optimal attire for an MMA match, but that didn't worry Ace—he had luck on his side.",Survivor,Conviction,Rare,1,[],images/Customization/AV_outfit_011.png
AV_outfit_012,6,,Winter Wisecracks,"The fabulous holiday suit was a way to disarm his opponents at the poker table, keeping them in good spirits until it was too late.",Survivor,Holiday Horror,Very Rare,0,[],images/Customization/AV_outfit_012.png
AV_outfit_012_01,6,,Table Tiger,A little flash goes a long way when it comes to throwing your poker opponents off their game.,Survivor,Autumn Chill,Very Rare,0,[],images/Customization/Ace/AV_outfit_012_01.png
AV_outfit_013,6,,Broke Fisherman,One rare catch could pay off enough of his debt so that he could bolt out of town without too much trouble.,Survivor,Sea-Washed Creatures,Very Rare,1,[],images/Customization/AV_outfit_013.png
AV_outfit_014,6,,God of Wine,It was fitting that Ace found an outfit inspired by Dionysus in the Fog. He never was one to turn down a drink.,Survivor,Greek Legends,Very Rare,1,[],images/Customization/AV_outfit_014.png
AV_outfit_015,6,,Retro Party,"Attending a 50's themed poker night, he dressed to look the part.",Survivor,Rockabilly,Very Rare,1,[],images/Customization/AV_outfit_015.png
AV_outfit_017,6,,Kenny’s Uniform,The outfit of a relentless killer from a lost realm.,Survivor,Attack On Titan Collection,Very Rare,1,[],images/Customization/Ace/AV_outfit_017.png
Bear_outfit_001,,268435463,Miss Kitty,Never fear these little rodents. There is nothing to be afraid of. It is time to play some cat and mouse!,Killer,Koshka,Rare,1,[],images/Customization/Bear_outfit_001.png
Bear_outfit_002,,268435463,Mother Bear,"The time for hibernating is over. Emerge from your slumber and pursue your prey. Tonight, you shall feast on your enemies!",Killer,Medveditsa,Very Rare,1,[],images/Customization/Bear_outfit_002.png
Bear_outfit_003,,268435463,Bird of Prey Sugata,"Hear the blood-curdling shrieks calling, haunting the forest with a shrill song of mercilessness.",Killer,Grim Matsuri,Very Rare,1,[],images/Customization/Bear_outfit_003.png
Bear_outfit_004,,268435463,Fur-Trimmed,"As the nights grow longer, the woods turn quieter. Winter is near and so is the long slumber.",Killer,Winter Wool,Uncommon,1,[],images/Customization/Bear_outfit_004.png
Bear_outfit_005,,268435463,Orenburg,"As the nights grow longer, the woods turn quieter. Winter is near and so is the long slumber.",Killer,Winter Wool,Uncommon,1,[],images/Customization/Bear_outfit_005.png
Bear_outfit_006,,268435463,Growth Surge,This feral specimen was the first experiment of its kind.,Killer,Hallowed Blight,Special Event,1,[],images/Customization/Bear_outfit_006.png
Bear_outfit_008,,268435463,Brave Beast,The Huntress honors and embodies the defiant spirit of the wild boar.,Killer,Moonrise,Special Event,0,[],images/Customization/Bear_outfit_008.png
BE_outfit_009,,268435463,Cold Wasteland Survivor,"In the endless frozen wastes, some members of native tribes still survive, however they can.",Killer,Lost Tribe,Very Rare,1,[],images/Customization/BE_outfit_009.png
BE_outfit_010,,268435463,Solstice Devotee,The huntress honored her ancestors during the solstice with a feast that lasted three nights.,Killer,Winter Tales,Very Rare,0,[],images/Customization/BE_outfit_010.png
BE_outfit_011,,268435463,Spoils of War,"A terrifying assembly of German and Soviet military accessories, pilfered from the bodies of dead soldiers.",Killer,Escalation,Very Rare,1,[],images/Customization/BE_outfit_011.png
BE_outfit_012,,268435463,The Mordeo,Mordeo hunted the unworthy who trespassed into her sacred patch of the forest.,Killer,The Crypt Tv,Legendary,1,[],images/Customization/BE_outfit_012.png
BE_outfit_013,,268435463,Ignition,"She charged through a flamethrower’s fiery stream to strike her mark, but the battle was paid at a horrible cost.",Killer,Grim Resolutions,Rare,1,[],images/Customization/BE_outfit_013.png
BE_outfit_014,,268435463,Baba Yaga,"As a cruel executioner, her voice deepened and haunted the nightmares of children.",Killer,Modern Tales,Ultra Rare,1,[],images/Customization/BE_outfit_014.png
BE_outfit_017,,268435463,Beach Day,"When she was still a child, she heard a story about a little girl living by a giant lake filled with salty water called the sea.",Killer,Hooked On You Collection,Very Rare,1,[],images/Customization/Huntress/BE_outfit_017.png
BE_outfit_018,,268435463,Night Owl,A traditional outfit she found on an old corpse from the Lost Realms.,Killer,Of Blood And Rust Collection,Rare,0,[],images/Customization/Huntress/BE_outfit_018.png
BE_outfit_018_01,,268435463,Night Owl (Deep Rift),A distorted outfit she found on an old corpse from the Lost Realms.,Killer,Deep Rift Collection,Rare,0,[],images/Customization/Huntress/BE_outfit_018_01.png
BE_outfit_04_01,,268435463,Apex Ursine,"The time for hibernating is over. Emerge from your slumber and pursue your prey. Tonight, you shall feast on your enemies!",Killer,Medveditsa,Very Rare,0,[],images/Customization/BE_outfit_04_01.png
Bob_outfit_001,,268435457,Shadow Walker,The bell tolls for those whose time is up. They have been warned.,Killer,Grim Tidings,Rare,1,[],images/Customization/Bob_outfit_001.png
Bob_outfit_002,,268435457,Wax Warlock,The darkness burns brightly within. With it comes the anger and violence of a man compelled to kill.,Killer,The Burning Rage,Very Rare,1,[],images/Customization/Bob_outfit_002.png
Bob_outfit_003,,268435457,Bad Omen,"Through the veil of night, the death bell rings.",Killer,Wraith Aberrations,Common,1,[],images/Customization/Bob_outfit_003.png
Bob_outfit_004,,268435457,Bad Omen,"Through the veil of night, the death bell rings.",Killer,Wraith Aberrations,Common,1,[],images/Customization/Bob_outfit_004.png
Bob_outfit_005,,268435457,Bad Omen,"Through the veil of night, the death bell rings.",Killer,Wraith Aberrations,Common,1,[],images/Customization/Bob_outfit_005.png
Bob_outfit_006,,268435457,Bad Omen,"Through the veil of night, the death bell rings.",Killer,Wraith Aberrations,Common,1,[],images/Customization/Bob_outfit_006.png
Bob_outfit_007,,268435457,Bad Omen,"Through the veil of night, the death bell rings.",Killer,Wraith Aberrations,Common,1,[],images/Customization/Bob_outfit_007.png
Bob_outfit_007_01,,268435457,The Angel of Music,"A mysterious figure sings in the dark, compelling the grieving Nurse to find her voice again.",Killer,Tragic Love Opera,Very Rare,1,"[{""currency"":""Cells"",""discount"":40.00001,""start"":1676390400,""end"":1676995200}]",images/Customization/Bob_outfit_007_01.png
Bob_outfit_008,,268435457,Death Blow,"For each shredded car, a soul was taken.",Killer,The Pulverizer,Uncommon,1,[],images/Customization/Bob_outfit_008.png
Bob_outfit_009,,268435457,Death Trap,"For each shredded car, a soul was taken.",Killer,The Pulverizer,Uncommon,1,[],images/Customization/Bob_outfit_009.png
Bob_outfit_010,,268435457,Seeping Hollow,"A tortured prototype with a unique, otherworldly densely corrupted quality.",Killer,Hallowed Blight,Special Event,1,[],images/Customization/Bob_outfit_010.png
BO_outfit007,7,,Heart of Valor,There's always that one moment where “I've dealt with worse” no longer applies.,Survivor,Forsaken,Very Rare,1,[],images/Customization/BO_outfit007.png
CA_outfit_006,,268435464,Old Lady,"Leatherface's homemaker persona, serene and harmonious until everything goes wrong.",Killer,Texas Chainsaw Massacre,Very Rare,1,[],images/Customization/CA_outfit_006.png
CA_outfit_007,,268435464,Pretty Woman,Leatherface put on a pretty face to dress up for a delicious diner.,Killer,Fine Dining,Very Rare,1,"[{""currency"":""Cells"",""discount"":40.00001,""start"":1676390400,""end"":1676995200}]",images/Customization/CA_outfit_007.png
Chuckles_outfit_001,,268435456,Blast Furnace,Time to dance!,Killer,Ironworks,Rare,1,[],images/Customization/Chuckles_outfit_001.png
Chuckles_outfit_002,,268435456,Circus Strongman,Step up and see the incredible feats performed by this savage beast! But don't get too close! He bites!,Killer,Fog Travelers,Very Rare,1,[],images/Customization/Chuckles_outfit_002.png
Chuckles_outfit_003,,268435456,Sinner's Slaughter,Harvest the souls of the unworthy.,Killer,Ironworks,Rare,1,[],images/Customization/Chuckles_outfit_003.png
Chuckles_outfit_004,,268435456,Scarred&nbsp;Corruption,An outfit made specifically for heavy-duty manual labor and murder.,Killer,Ironworks,Rare,1,[],images/Customization/Chuckles_outfit_004.png
Chuckles_outfit_005,,268435456,Levee Builder,Maintain the flooding and keep your graveyard submerged in wetland water.,Killer,Grave Swampman,Uncommon,1,[],images/Customization/Chuckles_outfit_005.png
Chuckles_outfit_006,,268435456,Trench Digger,Maintain the flooding and keep your graveyard submerged in wetland water.,Killer,Grave Swampman,Uncommon,1,[],images/Customization/Chuckles_outfit_006.png
Chuckles_outfit_007,,268435456,Bold Tailgater,The road to hell is paved with bear traps and good intentions.,Killer,Roadrage,Rare,1,[],images/Customization/Chuckles_outfit_007.png
Chuckles_outfit_008,,268435456,Rusty Trucker,The road to hell is paved with bear traps and good intentions.,Killer,Roadrage,Rare,1,[],images/Customization/Chuckles_outfit_008.png
Chuckles_outfit_008_01,,268435456,MacMillan Miner,"Treasure lies deep within the mountain, for those brave enough to venture into the darkness.",Killer,Boondocks Bounty,Very Rare,1,[],images/Customization/Chuckles_outfit_008_01.png
Chuckles_outfit_009,,268435456,Racing Biker,The road to hell is paved with bear traps and good intentions.,Killer,Roadrage,Rare,1,[],images/Customization/Chuckles_outfit_009.png
Chuckles_outfit_010,,268435456,King of the Hooks,A cruel specimen injected with metalloids congealed at high temperatures.,Killer,Hallowed Blight,Special Event,1,[],images/Customization/Chuckles_outfit_010.png
Claudette_outfit_001,2,,Dark Grape,What a time to be alive.,Survivor,Shrub Scholar,Rare,1,[],images/Customization/Claudette_outfit_001.png
Claudette_outfit_002,2,,Coffee Bean,"A fun, casual combination of sweater, skirt, and boots. Perfect for checking out some plants and lifeforms.",Survivor,Shrub Scholar,Rare,1,[],images/Customization/Claudette_outfit_002.png
Claudette_outfit_003,2,,Pineberry,"A fun, casual combination of sweater, skirt, and boots. Perfect for checking out some plants and lifeforms.",Survivor,Shrub Scholar,Rare,1,[],images/Customization/Claudette_outfit_003.png
Claudette_outfit_004,2,,Speakeasy Survivor,"Clearly, a boosted animal.",Survivor,Night Out,Uncommon,1,[],images/Customization/Claudette_outfit_004.png
Claudette_outfit_006,2,,Karaoke Time,"After a long day of doing science, the best way to unwind is to get the dancing shoes on and hit the town. Who's up for a night out",Survivor,Night Out,Uncommon,1,[],images/Customization/Claudette_outfit_006.png
Claudette_outfit_007,2,,Morning Glory,What's the story…,Survivor,Elegant Flower,Rare,1,[],images/Customization/Claudette_outfit_007.png
Claudette_outfit_008,2,,Burgundy Carnation,"An elegant outfit for an elegant botanist. Chic and casual, yet professional and smart.",Survivor,Elegant Flower,Rare,1,[],images/Customization/Claudette_outfit_008.png
Claudette_outfit_009,2,,Wild Indigo,"An elegant outfit for an elegant botanist. Chic and casual, yet professional and smart.",Survivor,Elegant Flower,Rare,1,[],images/Customization/Claudette_outfit_009.png
Claudette_outfit_009_01,2,,Frosh Week Warfare,"Every night is a battle, every victory just part of a longer game.",Survivor,Mean Streets,Very Rare,1,[],images/Customization/Claudette_outfit_009_01.png
Claudette_outfit_010,2,,Roving Healer,"Where there is sickness and injury, there is a need for the soothing of the soul.",Survivor,Fog Travelers,Very Rare,1,[],images/Customization/Claudette_outfit_010.png
Claudette_outfit_010_01,2,,Belle of the Ball,"Glowing and glamorous, this outfit means that all eyes will be on you. But all that attention may not be a good thing in The Entity's realms.",Survivor,Gold & Silk,Very Rare,1,[],images/Customization/Claudette_outfit_010_01.png
Claudette_outfit_011,2,,Science Kit,A great outfit for indoor / outdoor study and research.,Survivor,Claudette Essentials,Common,1,[],images/Customization/Claudette_outfit_011.png
Claudette_outfit_012,2,,Science Kit,A great outfit for indoor / outdoor study and research.,Survivor,Claudette Essentials,Common,1,[],images/Customization/Claudette_outfit_012.png
Claudette_outfit_013,2,,Science Kit,A great outfit for indoor / outdoor study and research.,Survivor,Claudette Essentials,Common,1,[],images/Customization/Claudette_outfit_013.png
Claudette_outfit_014,2,,Science Kit,A great outfit for indoor / outdoor study and research.,Survivor,Claudette Essentials,Common,1,[],images/Customization/Claudette_outfit_014.png
Claudette_outfit_016,2,,Science Kit,A great outfit for indoor / outdoor study and research.,Survivor,Claudette Essentials,Common,1,[],images/Customization/Claudette_outfit_016.png
Claudette_outfit_018,2,,Open Day Student,"It’s Open Day season and the schools are busting with club activities, concerts, and refreshments. Join the bunkasai for some wicked fun!",Survivor,Grim Matsuri,Very Rare,1,[],images/Customization/Claudette_outfit_018.png
Claudette_outfit_019,2,,Vigo’s Pupil,Formerly owned by an apothecary who used alchemy to obtain chemical and herbal ingredients from a prime material.,Survivor,Hallowed Blight,Special Event,1,[],images/Customization/Claudette_outfit_019.png
Clown_outfit_001,,268435467,Children's Parties,Thou art an all-round family entertainer.,Killer,The Entertainer,Very Rare,1,[],images/Customization/Clown_outfit_001.png
Clown_outfit_002,,268435467,Shock Humor,"Volunteers, step forward! We need fresh blood to start the show.",Killer,The Showman,Uncommon,1,[],images/Customization/Clown_outfit_002.png
Clown_outfit_003,,268435467,Comedy Horror,"Volunteers, step forward! We need fresh blood to start the show.",Killer,The Showman,Uncommon,1,[],images/Customization/Clown_outfit_003.png
Clown_outfit_004,,268435467,Downtown Fair,Paint your best blood-stained smile for a parade that no one will forget.,Killer,Street Performer,Rare,1,[],images/Customization/Clown_outfit_004.png
Clown_outfit_007,,268435467,Carnie Claws,Don't be lured in by the colorful lights and the sounds of sleigh bells.,Killer,Holiday Horror,Very Rare,0,[],images/Customization/Clown_outfit_007.png
Clown_outfit_008,,268435467,Pulcinella,One of the earliest causes of Coulrophobia.,Killer,Disparate Arts,Very Rare,1,[],images/Customization/Clown_outfit_008.png
CM_outfit_009_01,2,,Rosy Rumbler,"A dusty pink get-up that celebrates the end of another long, dreadful Canadian winter.",Survivor,Spring Ensembles,Very Rare,0,[],images/Customization/Claudette/CM_outfit_009_01.png
CM_outfit_010_01,2,,Glitz & Glamour,"Glowing and glamorous, this outfit means that all eyes will be on you. But all that attention may not be a good thing in The Entity's realms.",Survivor,Gold & Silk,Very Rare,1,[],images/Customization/CM_outfit_010_01.png
CM_outfit_011,2,,Lab Intern,She was starting her internship at one of leading centers in biochemical research.,Survivor,Monday Morning,Very Rare,1,[],images/Customization/CM_outfit_011.png
CM_outfit_012,2,,Spring Break,"Kick back, relax, and forget about the impending chance of murder.",Survivor,Waterfront Massacre,Very Rare,1,[],images/Customization/CM_outfit_012.png
CM_outfit_013,2,,Winter Gala,"For the New Year, Claudette was invited to attend the exclusive Winter Gala at the Montreal Metropolitan Science Center.",Survivor,New Year Celebration,Very Rare,1,[],images/Customization/CM_outfit_013.png
CM_outfit_014,2,,Chalet Getaway,She left the city behind. It was rainy when she reached the cabin—perfect for her research on the growth cycles of extinct mushrooms. This wet grey weather would make them pop in the mossy forest bed.,Survivor,Log Cabin,Very Rare,1,[],images/Customization/CM_outfit_014.png
CM_outfit_015,2,,Freestyle Claudette,"A full on makeover for the botanist formerly known as Science Girl, worn as part of her city's outdoor theatre festival.<br><br>Design inspired by <b>Nohequin</b>.",Survivor,Community,Very Rare,1,[],images/Customization/CM_outfit_015.png
CM_outfit_016,2,,Claudette Claus,"Growing up, Claudette was the driving force behind holiday cheer in her home.",Survivor,Holiday Horror,Very Rare,0,[],images/Customization/CM_outfit_016.png
CM_outfit_017,2,,Montreal Chill,"It was Claudette’s last summer in Montreal, and she had to admit it to herself: she was going to miss the winter chill.",Survivor,Deep Freeze,Rare,0,[],images/Customization/CM_outfit_017.png
CM_outfit_019,2,,Dog-Sitter,"She took care of her friend's five-year-old rescue dog named Celeste. Since Celeste was an anxious dog with a rough beginning in life, Claudette pampered her with treats, toys, and affection.",Survivor,Cats & Dogs,Very Rare,1,[],images/Customization/CM_outfit_019.png
CM_outfit_01_02,2,,Northern Flurry,It’s ok to take a break off from your studies during Christmas after a year of hard work.,Survivor,Winter Chill,Rare,0,[],images/Customization/CM_outfit_01_02.png
CM_outfit_01_CV08,2,,Science Kit (4th Anniversary),A great outfit for indoor / outdoor study and research.,Survivor,Claudette Essentials,Common,0,[],images/Customization/CM_outfit_01_CV08.png
CM_outfit_020,2,,Science Girl,"She created an alter-ego for herself as a child, imagining herself as a genius inventor and hero.",Survivor,Science Girl Collection,Rare,0,[],images/Customization/Claudette/CM_outfit_020.png
CM_outfit_021,2,,Island Outfit,Vague memories of a relaxing vacation accompany this get-up.,Survivor,Hooked On You Collection,Very Rare,1,[],images/Customization/Claudette/CM_outfit_021.png
CM_outfit_022,2,,Feudal Harvester,She imagined herself as a crafty and enigmatic medieval botanist while admiring old illustration books about the herbal.,Survivor,Of Blood And Rust Collection,Very Rare,0,[],images/Customization/Claudette/CM_outfit_022.png
CM_outfit_022_01,2,,Feudal Harvester (Deep Rift),"After admiring old illustration books about herbalists of old, she imagined herself as a crafty medieval botanist, through the lens of the Rift.",Survivor,Deep Rift Collection,Very Rare,0,[],images/Customization/Claudette/CM_outfit_022_01.png
DF_outfit_001_03,0,,Fancy Freshman,"Campus life has never been so fun! Be the life of the party at every sorority event! Greek letters, represent!",Survivor,College Daze,Rare,0,[],images/Customization/DF_outfit_001_03.png
DF_outfit_001_04,0,,Stand-out Style,A fruit-filled look that’s gushing with attitude.,Survivor,College Daze,Rare,0,[],images/Customization/DF_outfit_001_04.png
DF_outfit_005_01,0,,The Adventurer,A Halloween outfit that shows off the true heroic heart of Dwight.,Survivor,Halloween 2021,Rare,0,[],images/Customization/DF_outfit_005_01.png
DF_outfit_009,0,,Chute Malfunction,"This was supposed to be a fun experience. Now, with a failed chute, Dwight's stuck in the woods. What's that noise",Survivor,Team Building Day,Very Rare,1,[],images/Customization/DF_outfit_009.png
DF_outfit_010,0,,The Great Gas Jockey,"For 3 magnificent months, Phil's Petrol had this MVP on their team providing the premium experience!",Survivor,Route 66,Very Rare,1,[],images/Customization/DF_outfit_010.png
DF_outfit_011,0,,Mr. Elf,"Dwight was annoyed by his limited finances for the holidays, a time of credit card excess and overtime. Lonely and desperate to buy himself a present, he secured a part-time job at the mall.",Survivor,Winter Tales,Very Rare,0,[],images/Customization/DF_outfit_011.png
DF_outfit_012,0,,Trendy Techie,"Stylish west-coast inspired fashion that holds its own in cafes, rooftop parties, and dot-com offices.",Survivor,Escalation,Rare,1,[],images/Customization/DF_outfit_012.png
DF_outfit_012_01,0,,Mellow Fellow,"Hearing the advice to dress for the job you want, Dwight dressed as someone who isn’t stressed out all the time.",Survivor,Spring Ensembles,Rare,0,[],images/Customization/Dwight/DF_outfit_012_01.png
DF_outfit_013,0,,Dwight-in-a-Box,"Dwight failed to snag the starring role in his school’s holiday play, instead being billed to play Holiday Present #2.",Survivor,Holiday Horror,Very Rare,0,[],images/Customization/DF_outfit_013.png
DF_outfit_014,0,,Lost on Public Transit,Dwight quickly got lost in Seoul. Yet he remained too stubborn to ask for directions.,Survivor,Seoul Sights,Very Rare,1,[],images/Customization/DF_outfit_014.png
DF_outfit_015,0,,Sunburnt Snooze,"He found a patch of bronze sand to lay down, then lulled by the salty sea breeze, he fell asleep just when the sun reached its zenith.",Survivor,Waterfront Massacre,Very Rare,1,[],images/Customization/DF_outfit_015.png
DF_outfit_016,0,,Love Hurts,"On his way to a speed-dating event, Dwight is a cautionary tale of what not to do.",Survivor,Vain Valentine,Very Rare,0,[],images/Customization/DF_outfit_016.png
DF_outfit_018,0,,Counselor Loadout,Armed with everything needed to keep a bunch of brats safe and in check out in the brush.,Survivor,Summer Vacation Collection,Very Rare,1,[],images/Customization/Dwight/DF_outfit_018.png
DF_outfit_01_04,0,,Office Santa,He tried to be Santa but forgot to grow a beard.,Survivor,Winter Chill,Rare,0,[],images/Customization/DF_outfit_01_04.png
DF_outfit_01_05,0,,Wildland Adventurer,The dignified uniform of the Wildland Adventurers. It’s even more impressive when you consider that Dwight achieved the rank of Wombat.,Survivor,Summer Camp,Uncommon,0,[],images/Customization/DF_outfit_01_05.png
DF_outfit_020,0,,Eren’s Uniform,The outfit of a skilled fighter from a lost realm.,Survivor,Attack On Titan Collection,Very Rare,1,[],images/Customization/Dwight/DF_outfit_020.png
DF_outfit_021,0,,Dwight Unknown,"At his first comic book convention, he dressed as a popular gaming mascot.",Survivor,Battlegrounds,Very Rare,0,[],images/Customization/Dwight/DF_outfit_021.png
DF_outfit_022,0,,Toilet Paper Mummy,"A last-minute stroke of genius led to this Halloween outfit, which will definitely fall to pieces five minutes before arriving at the party.",Survivor,Tricks And Treats,Very Rare,0,[],images/Customization/Dwight/DF_outfit_022.png
DF_outfit_023,0,,Sun-Dappled Ensemble,A warm-weather look that carries with it the faintest of relaxing memories.,Survivor,Hooked On You Collection,Very Rare,1,[],images/Customization/Dwight/DF_outfit_023.png
DK_outfit_009,9,,Enforcer,A trip to Mexico to find and roughen up a police informant.,Survivor,November Days,Very Rare,1,[],images/Customization/DK_outfit_009.png
DK_outfit_009_01,9,,Patrick’s Pub Crawl,How did it even happen? David King awoke after St. Patrick’s Day with a killer hangover and a leprechaun outfit that wasn’t on him when the night began.,Survivor,St. Patrick’S 2022,Very Rare,0,[],images/Customization/DK_outfit_009_01.png
DK_outfit_010,9,,Unconquered,Resilient stoicism in the face of adversary.,Survivor,Battle-Hardened,Very Rare,1,[],images/Customization/DK_outfit_010.png
DK_outfit_011,9,,Debt Collector,"He broke the orbital bone of the first man on his list. Seemed a bit drastic to collect £500. Then again, restraint was not something David was accustomed to.",Survivor,Mean Streets,Very Rare,1,[],images/Customization/DK_outfit_011.png
DK_outfit_012,9,,Champion of Olympus,Attire that shows off the confidence of its Herculean wearer.,Survivor,Greek Legends,Very Rare,1,[],images/Customization/DK_outfit_012.png
DK_outfit_013,9,,The Ruffian,"David looted the old outfit from Vigo’s workshop, and he’d fight anyone who tried to make him give it back.",Survivor,Hallowed Curse,Special Event,1,[],images/Customization/DK_outfit_013.png
DK_outfit_014,9,,Impromptu Beach Photoshoot,"Spotted by a photographer on the beach, he was offered a spot in a trendy menswear photoshoot.",Survivor,Waterfront Massacre,Very Rare,1,[],images/Customization/DK_outfit_014.png
DK_outfit_015,9,,Heartbreaker's Suit,"In this get-up, David's going to be breaking a more than just bones.",Survivor,Vain Valentine,Very Rare,1,"[{""currency"":""Cells"",""discount"":40.00001,""start"":1676390400,""end"":1676995200}]",images/Customization/DK_outfit_015.png
