id,powerID,name,description,rarity,image
Addon_Beartrap_011,Item_Slasher_Beartrap,Secondary Coil,A secondary coil which keeps a Bear Trap effective in times when the primary coils becomes unusable.<br><br><b>Increases</b> time required for Survivors to disarm <b>Bear Traps</b> by <b>50%</b>.,Rare,images/ItemAddons/iconAddon_secondaryCoil.png
Addon_Beartrap_012,Item_Slasher_Beartrap,Fastening Tools,A specialized set of tools used to fasten Bear Traps to ensure their effectiveness.<br><br><b>Increases</b> <b>Bear Trap</b> setting speed by <b>50%</b>.<b>Increases</b> the time required to rescue a Survivor or attempt escape from a <b>Bear Trap</b> by <b>25%</b>.,Rare,images/ItemAddons/iconAddon_fasteningTools.png
Addon_Beartrap_PaddedJaws,Item_Slasher_Beartrap,Padded Jaws,"These padded jaws are meant to restrain, not to wound.<br><br><b>Bear Traps</b> <b>do not inflict damage</b> on trapped Survivors. Equipping this add-on negates the effects of <b>Rusted Jaws</b> and <b>Serrated Jaws</b>.Points awarded for trapping Survivors are increased by <b>100%</b>.",Common,images/ItemAddons/iconAddon_paddedJaws.png
Addon_Beartrap_TrapperSack,Item_Slasher_Beartrap,Bear Oil,Melted animal fat that can lubricate the Bear Trap's squeaky joints.<br><br>Setting a <b>Bear Trap</b> is silent.,Common,images/ItemAddons/iconAddon_bearOil.png
Addon_Bell_001,Item_Slasher_CloakBell,Bone Clapper,A bell clapper made from a highly polished piece of bone. Causes the sounds of the Wailing Bell to echo and warp chaotically.Survivors can no longer discern the <b>Wailing Bell's</b> <b>distance</b> or <b>direction.</b>,Uncommon,images/ItemAddons/iconAddon_boneClapper.png
Addon_Bell_002,Item_Slasher_CloakBell,"""The Ghost"" - Soot","The Khugwemuu symbol, representing the spirit world, is finger-drawn out of soot on the body of the bell.<br><br>After Uncloaking, the Wraith's Terror Radius and Red Stain will remain suppressed for <b>6 seconds.</b>",Common,images/ItemAddons/iconAddon_sootTheGhost.png
Addon_Bell_003,Item_Slasher_CloakBell,"""The Hound"" - Soot","The Wonnug symbol, representing a peerless tracker, is finger-drawn out of soot on the body of the bell.<br><br>While Cloaked, fresh blood marks are <b>brighter</b> than normal.",Common,images/ItemAddons/iconAddon_sootTheHound.png
Addon_Bell_004,Item_Slasher_CloakBell,"""Blind Warrior"" - Mud","The Baikra-Kaeug symbol, representing ferocity, is finger-drawn in mud on the body of the Bell.<br><br>Uncloak <b>surprise attacks</b> inflict Survivors with <b>Blindness</b> for <b>60 seconds.</b> Blindness prevents survivors from seeing auras.",Uncommon,images/ItemAddons/iconAddon_mudBaikraKaeug.png
Addon_Bell_005,Item_Slasher_CloakBell,"""Swift Hunt"" - Mud","The Kuntin-Takkho symbol, representing rapid descent on prey, is finger-drawn in mud on the body of the Bell.<br><br><b>Increases</b> uncloaking speed by <b>8%</b>.",Uncommon,images/ItemAddons/iconAddon_mudSwiftHunt.png
Addon_Bell_006,Item_Slasher_CloakBell,"""Swift Hunt"" - Blood","The Kuntin-Takkho symbol, representing rapid descent on prey, is stamped in blood on the head of the Bell.<br><br><b>Increases</b> uncloaking speed by <b>12%</b>.",Very Rare,images/ItemAddons/iconAddon_bloodSwiftHunt.png
Addon_Bell_007,Item_Slasher_CloakBell,"""The Beast"" - Soot","The Kunwulju symbol, representing the realm of fear, is finger-drawn out of soot on the body of the bell.<br><br>The Wraith's Terror Radius is <b>no longer suppressed</b> while Cloaked.Bloodpoints granted for Stalking and surprise attacks are increased by <b>100%</b>.",Common,images/ItemAddons/iconAddon_sootTheBeast.png
Addon_Bell_008,Item_Slasher_CloakBell,"""All Seeing"" - Blood","The Kra-Frabai symbol, representing The Entity watching over us, is stamped in blood on the head of the Bell.<br><br>Unlocks hidden potential in one's aura reading ability. While Cloaked, the auras of Survivors within <b>8 meters</b> are revealed to you.",Very Rare,images/ItemAddons/iconAddon_bloodKraFabai.png
Addon_Bell_009,Item_Slasher_CloakBell,"""Windstorm""- Mud","The Ohuwe-Onmnea symbol, representing a howling storm, is finger-drawn in mud on the body of the Bell.<b>Increases</b> the Wraith's movement speed while cloaked by <b>5%</b>.",Uncommon,images/ItemAddons/iconAddon_mudWindstorm.png
Addon_Bell_010,Item_Slasher_CloakBell,"""Windstorm"" - White","The Ohuwe-Onmnea symbol, representing a howling storm, is finger-drawn in white ink on the body of the Bell.<b>Increases</b> the Wraith's movement speed while cloaked by <b>7%</b>.",Rare,images/ItemAddons/iconAddon_whiteWindstorm.png
Addon_Bell_011,Item_Slasher_CloakBell,"""Blink"" - Mud","The Kratin symbol, representing quick passing, is finger-drawn in mud on the body of the Bell.<br><br><b>Increases</b> cloaking speed by <b>40%</b>.",Uncommon,images/ItemAddons/iconAddon_mudBlink.png
Addon_Bell_012,Item_Slasher_CloakBell,"""Blink"" - White","The Kratin symbol, representing quick passing, is finger-drawn in white ink on the body of the Bell.<br><br><b>Increases</b> cloaking speed by <b>60%</b>.",Rare,images/ItemAddons/iconAddon_whiteBlink.png
ADDON_Bell_AllseeingSpirit,Item_Slasher_CloakBell,"""All Seeing"" - Spirit","The Kra-Frabai symbol, representing The Entity watching over us, glows ominously on the head of the bell.<br><br>Unlocks awesome potential in one's aura reading ability. While Cloaked, the <b>repair progress of generators</b> can be determined by the <b>intensity of their auras.</b>",Ultra Rare,images/ItemAddons/iconAddon_spiritAllSeeing.png
ADDON_Bell_AllseeingWhite,Item_Slasher_CloakBell,"""The Serpent"" - Soot","The Oas-Nek symbol, representing cunning, is finger-drawn out of soot on the body of the bell.<br><br><b>The Wraith</b> will <b>Uncloak completely</b> when breaking pallets or walls, or damaging generators while Cloaked.",Common,images/ItemAddons/iconAddon_sootTheSerpent.png
ADDON_Bell_BlindBlood,Item_Slasher_CloakBell,"""Shadow Dance"" - White","The Yiwarick symbol, representing dark synergy, is finger-drawn in white ink on the body of the Bell.<br><br><b>Increases</b> speed of vaulting windows, breaking pallets or walls, and damaging generators by <b>40%</b> while cloaked.",Rare,images/ItemAddons/iconAddon_whiteShadowDance.png
ADDON_Bell_BlindSpirit,Item_Slasher_CloakBell,"""Shadow Dance"" - Blood","The Yiwarick symbol, representing dark synergy, is stamped in blood on the body of the Bell.<br><br><b>Increases</b> speed of vaulting windows, breaking pallets or walls, and damaging generators by <b>60%</b> while cloaked.",Very Rare,images/ItemAddons/iconAddon_bloodShadowDance.png
ADDON_Bell_BlindWhite,Item_Slasher_CloakBell,"""Blind Warrior"" - White","The Baikra-Kaeug symbol, representing ferocity, is finger-drawn in white ink on the body of the Bell.<br><br>Uncloak <b>surprise attacks</b> inflict <b>Mangled</b> and <b>Hemorrhage</b>&nbsp;until fully healed.<br><br>Hemorrhage&nbsp;regresses healing progress when not healing, and increases blood trails left by injured survivors.<br><br>Mangled increases time required to heal by 25% and lasts until fully healed.",Rare,images/ItemAddons/iconAddon_whiteBlindWarrior.png
ADDON_Bell_CoxcombedClapper,Item_Slasher_CloakBell,Coxcombed Clapper,A simple coxcomb knotted rope wrapped around the bell clapper to muffle its sound. A malevolent aura emanates from it.<br><br>Renders the <b>Wailing Bell</b> <b>completely silent.</b>,Ultra Rare,images/ItemAddons/iconAddon_coxcombedClapper.png
ADDON_Bell_SwiftMud,Item_Slasher_CloakBell,"""Swift Hunt"" - White","The Kuntin-Takkho symbol, representing rapid descent on prey, is finger-drawn in white ink on the body of the Bell.<br><br><b>Increases</b> uncloaking speed by <b>10%</b>.",Rare,images/ItemAddons/iconAddon_whiteKuntinTakkho.png
ADDON_Bell_WindstormBlood,Item_Slasher_CloakBell,"""Windstorm"" - Blood","The Ohuwe-Onmnea symbol, representing a howling storm, is stamped in blood on the body of the bell.<br><br><b>Increases</b> the Wraith's movement speed while cloaked by <b>9%</b>.",Very Rare,images/ItemAddons/iconAddon_bloodWindstorm.png
Addon_Blinker_001,Item_Slasher_Blinker,Plaid Flannel,A torn piece of red and black plaid flannel. The scrap of fabric imbues The Nurse with devastating focus.<br><br>Allows the Nurse to see the Blink target location.,Common,images/ItemAddons/iconAddon_plaidFlannel.png
Addon_Blinker_002,Item_Slasher_Blinker,White Nit Comb,A parasitic nit comb taken from the clinic. Once the symbol of a deep connection between an anxious patient and her nurse.<br><br><b>Decreases</b> the length of Blink Attack lunges by <b>50%</b>.<b>Increases</b> Bloodpoints for Blink attack score events by <b>100%</b>.,Common,images/ItemAddons/iconAddon_whiteNitComb.png
Addon_Blinker_003,Item_Slasher_Blinker,Pocket Watch,A charred and broken pocket watch with rattling pieces. Taken from Nurse Moris' body.<br><br><b>Increases</b> the time before The Nurse succumbs to fatigue after Blinking by <b>20%</b>.,Uncommon,images/ItemAddons/iconAddon_pocketWatch.png
Addon_Blinker_004,Item_Slasher_Blinker,Anxious Gasp,The gasp of surprise collected from an anxious girl which The Nurse was fond of. Twitches vigorously at The Nurse's touch.<br><br>Blinking past a survivor causes them to scream and awards <b>200 Bloodpoints</b> for spooking them.,Rare,images/ItemAddons/iconAddon_anxiousGasp.png
Addon_Blinker_005,Item_Slasher_Blinker,Torn Bookmark,A white and pristine piece of ribbon once attached to a sacred book. Serves as the symbol of a dispute.<br><br>Adds <b>1</b> Blink charge.<b>Increases</b> Blink recharge time by <b>30%</b>.,Ultra Rare,images/ItemAddons/iconAddon_tornBookmark.png
Addon_Blinker_006,Item_Slasher_Blinker,Dark Cincture,A black rope used as a belt in times of mourning. Taken from Father Campbell's body.<br><br><b>Increases</b> movement speed after a Blink but before the following fatigue by <b>30%</b>.,Uncommon,images/ItemAddons/iconAddon_darkCincture.png
Addon_Blinker_007,Item_Slasher_Blinker,Fragile Wheeze,The whistling and rattling breath stolen from Father Campbell. Silently curves and bends at The Nurse's touch.<br><br>Blink Attacks inflict the <b>Mangled</b> status effect.<br><br>Mangled increases time required to heal by 25% and lasts until fully healed.,Rare,images/ItemAddons/iconAddon_fragileWheeze.png
Addon_Blinker_008,Item_Slasher_Blinker,Campbell's Last Breath,"A powerful last breath snatched from Crotus Prenn asylum priest Father Campbell. In the hands of The Nurse, it crackles with intensity.<br><br>After reappearing from a fully charged Blink, The Nurse immediately Blinks at full charge in the direction she is currently facing.This only works if&nbsp;<b>The Nurse</b> has a remaining Blink charge.",Very Rare,images/ItemAddons/iconAddon_campbellsLastBreath.png
Addon_Blinker_009,Item_Slasher_Blinker,Metal Spoon,"A dull, partially rusted and stained metallic spoon. Confiscated from room 202's patient, the ""Bad Man"".<br><br>Hitting a survivor with a successful Blink Attack causes their sounds of pain to be <b>50% louder</b> for <b>60 seconds</b>.",Common,images/ItemAddons/iconAddon_metalSpoon.png
Addon_Blinker_010,Item_Slasher_Blinker,Bad Man Keepsake,"A rotten molar extirpated from the ""Bad Man's"" cold dead hand.<br><br>Hitting a survivor with a successful Blink Attack causes their aura to be revealed when healing or being healed within a <b>28 meter</b> range for <b>60 seconds</b>.",Uncommon,images/ItemAddons/iconAddon_badManKeepsake.png
Addon_Blinker_011,Item_Slasher_Blinker,Wooden Horse,An unpainted toy carved out of cheap wood to resemble a horse. Once the symbol of a deep connection between a catatonic patient and his nurse.<br><br><b>Decreases</b> extra fatigue from missed Blink Attacks by <b>50%</b>.,Common,images/ItemAddons/iconAddon_woodenHorse.png
Addon_Blinker_012,Item_Slasher_Blinker,Catatonic Boy's Treasure,A pine-cone which unexpectedly calmed a patient's repetitive movement. Taken from the catatonic boy's body.<br><br><b>Decreases</b> extra fatigue from chain Blinks by <b>65%</b>.,Uncommon,images/ItemAddons/iconAddon_catatonicTreasure.png
Addon_Chainsaw_001,Item_Slasher_Chainsaw,Dad's Boots,"A pair of trusty boots, pulled from the corpse of Max Thompson Sr.<br><br><b>Increases</b> Chainsaw Sprint turn rate by <b>28%</b>.",Uncommon,images/ItemAddons/Xipre/iconAddon_dadsBoots.png
Addon_Chainsaw_002,Item_Slasher_Chainsaw,Heavy Clutch,A well-made clutch that keeps the chain moving smoothly.<br><br><b>Decreases</b> the width of the Chainsaw's collision zone by <b>30%</b>.,Common,images/ItemAddons/Xipre/iconAddon_heavyClutch.png
Addon_Chainsaw_003,Item_Slasher_Chainsaw,Junkyard Air Filter,"A cracked and dusty filter, it still manages to work better than the stock model.<br><br><b>Increases</b> the Chainsaw’s overheat limit by <b>20%</b>.",Common,images/ItemAddons/Xipre/iconAddon_junkyardAirFilter.png
Addon_Chainsaw_004,Item_Slasher_Chainsaw,Punctured Muffler,A roughly modified muffler that allows for extra air flow.<br><br><b>Increases</b> the Chainsaw's rate of cooling by <b>50%</b>.,Uncommon,images/ItemAddons/Xipre/iconAddon_puncturedMuffler.png
Addon_Chainsaw_005,Item_Slasher_Chainsaw,Steel Toe Boots,Boots with a reinforced toe that offer protection from impact.<br><br><b>Decreases</b> recovery time after hitting an object with the Chainsaw by <b>12%</b>.,Common,images/ItemAddons/Xipre/iconAddon_steelToeBoots.png
Addon_Chainsaw_006,Item_Slasher_Chainsaw,Black Grease,Thick grease that can be applied beneath the eyes to reduce glare.<br><br><b>Increases</b> Chainsaw charge speed by <b>18%</b> for <b>30 seconds</b> after being blinded.,Rare,images/ItemAddons/Xipre/iconAddon_blackGrease.png
Addon_Chainsaw_007,Item_Slasher_Chainsaw,Big Buckle,"A glorious, shining belt worn by many good ol’ country boys.<br><br><b>Decreases</b> Terror Radius by <b>8 meters</b> when the Chainsaw is overheated.",Uncommon,images/ItemAddons/Xipre/iconAddon_bigBuckle.png
Addon_Chainsaw_008,Item_Slasher_Chainsaw,Leafy Mash,"A wet mash of fragrant leaves that mask a hunter’s scent when stalking prey.<br><br>Gain the <b>Undetectable</b> status effect for <b>15 seconds</b> after landing a Chainsaw hit.<br><br>Undetectable hides the Killer's aura, Terror Radius, and Red Stain.",Rare,images/ItemAddons/Xipre/iconAddon_leafyMash.png
Addon_Chainsaw_009,Item_Slasher_Chainsaw,Lo Pro Chains,"Light chains that decrease the weight of the Chainsaw, allowing for greater maneuverability.<br><br>Continue a Chainsaw Sprint after breaking a pallet or wall.Survivors hit with the Chainsaw within <b>5 seconds</b> of breaking a pallet or a wall are damaged for a single health state.",Very Rare,images/ItemAddons/Xipre/iconAddon_lowProChains.png
Addon_Chainsaw_010,Item_Slasher_Chainsaw,Mother's Helpers,A small number of caffeine pills found in Evelyn Thompson’s purse. Side effects include nervousness and irritability.<br><br><b>Increases</b> Chainsaw charge speed by <b>18%</b> for <b>30 seconds</b> after being stunned by pallet.,Rare,images/ItemAddons/Xipre/iconAddon_mothersHelpers.png
Addon_Chainsaw_011,Item_Slasher_Chainsaw,Speed Limiter,"A mechanical device that limits the amount of fuel small engines can intake at one time, forcing a constant and safe speed.<br><br>Survivors hit with the Chainsaw are damaged for a single health state.Get <b>100%</b> more Bloodpoints for Chainsaw Hit score events.",Common,images/ItemAddons/Xipre/iconAddon_speedLimiter.png
Addon_Chainsaw_012,Item_Slasher_Chainsaw,Off-Brand Motor Oil,Affordable oil that can be used to lubricate noisy chains.<br><br><b>Decreases</b> the noise made by the Chainsaw by <b>30%</b>.,Uncommon,images/ItemAddons/Xipre/iconAddon_offBrandMotorOil.png
ADDON_Chainsaw_CarburatorGuide,Item_Slasher_Chainsaw,Tuned Carburetor,"Despite being caked in dirt and oil, this carburetor has been well adjusted.<br><br><b>Increases</b> Chainsaw charge speed by <b>25%</b>.<b>Decreases</b> base movement speed to <b>4.4 m/s</b>.",Very Rare,images/ItemAddons/Xipre/iconAddon_tunedCarburetor.png
ADDON_Chainsaw_DeathEngravings,Item_Slasher_Chainsaw,Death Engravings,Engravings found on the Chainsaw body counting the amount of lives it took. Fills the user with determination.<br><br><b>Increases</b> Chainsaw Sprint movement speed by <b>15%</b>.<b>Increases</b> time required to charge the Chainsaw by <b>14%</b>.<b>Decreases</b> heat generated while charging the Chainsaw by <b>14%</b>.,Uncommon,images/ItemAddons/Xipre/iconAddon_deathEngravings.png
ADDON_Chainsaw_DoomEngravings,Item_Slasher_Chainsaw,Doom Engravings,Engravings found on the Chainsaw body representing the dark beast that lives in The Fog. Fills the user with determination.<br><br><b>Increases</b> Chainsaw Sprint movement speed by <b>20%</b>.<b>Increases</b> time required to charge the Chainsaw by <b>14%</b>.<b>Decreases</b> heat generated while charging the Chainsaw by <b>14%</b>.,Rare,images/ItemAddons/Xipre/iconAddon_doomEngravings.png
ADDON_Chainsaw_HomemadeMuffler,Item_Slasher_Chainsaw,Apex Muffler,A masterfully crafted chainsaw muffler that outperforms all others.<br><br>Chainsaw is silent for Survivors outside the Terror Radius.,Ultra Rare,images/ItemAddons/Xipre/iconAddon_apexMuffler.png
ADDON_Chainsaw_LightChassis,Item_Slasher_Chainsaw,Low Kickback Chains,A specialized chain that reduces the likelihood of kickback.<br><br><b>Decreases</b> recovery time after hitting an object with the Chainsaw by <b>28%</b>.,Rare,images/ItemAddons/Xipre/iconAddon_lowKickbackChains.png
ADDON_Chainsaw_ThompsonMix,Item_Slasher_Chainsaw,Pighouse Gloves,"Rancid smelling gloves, soiled with unknown substances. Despite everything wrong with them, they do have thick fabric.<br><br>While the Chainsaw is overheated:<b>Increases</b> action speed by <b>20%</b> when breaking pallets or walls or damaging generators.<b>Decreases</b> duration of pallet stuns by <b>50%</b>.",Very Rare,images/ItemAddons/Xipre/iconAddon_pighouseGloves.png
ADDON_Chainsaw_ThompsonMoonshine,Item_Slasher_Chainsaw,Spiked Boots,Boots with strapped-on pieces of metal which burrow in mud for more stability and control with each step.<br><br><b>Increases</b> Chainsaw Sprint turn speed by <b>44%</b><b>Increases</b> recovery time after hitting an object with the Chainsaw by <b>28%</b>,Very Rare,images/ItemAddons/iconAddon_spikedBoots.png
Addon_Demogorgon_BarbsGlasses,Item_Slasher_QatarKillerPower,Barb's Glasses,A broken pair of glasses that traveled to the Upside Down.<br><br><b>Decreases Shred</b> pallet break cooldown by <b>15%</b>.,Uncommon,images/ItemAddons/Qatar/iconAddon_barbsGlasses.png
Addon_Demogorgon_BlackHeart,Item_Slasher_QatarKillerPower,Black Heart,A black fermented heart ripped from the chest of a tentacled creature in the Upside Down.<br><br><b>Decreases Shred</b> hit cooldown by <b>15%</b>.,Common,images/ItemAddons/Qatar/iconAddon_blackHeart.png
Addon_Demogorgon_BrassCaseLighter,Item_Slasher_QatarKillerPower,Brass Case Lighter,"A lighter used to ignite trouble.<br><br>Proximity to Portals inflicts Survivors with <b>Blindness</b>. Once out of contact with the Portal, this effect persists for <b>60 seconds</b>.<br><br>Blindness prevents Survivors from seeing auras.",Rare,images/ItemAddons/Qatar/iconAddon_brassCaseLighter.png
Addon_Demogorgon_DeerLung,Item_Slasher_QatarKillerPower,Deer Lung,"A raw, rubbery lung that reinvigorates The Demogorgon.<br><br><b>Increases</b> Upside Down movement speed by <b>30%</b>.<b>Decreases</b> the number of available Portals by <b>2</b>.",Rare,images/ItemAddons/Qatar/iconAddon_deerLung.png
Addon_Demogorgon_ElevensSoda,Item_Slasher_QatarKillerPower,Eleven's Soda,A soda can charged with psychic energy.<br><br>Shows yellow auras for generators being repaired while traversing the Upside Down.,Rare,images/ItemAddons/Qatar/iconAddon_elevensSoda.png
Addon_Demogorgon_LerproseLichen,Item_Slasher_QatarKillerPower,Leprose Lichen,"A potent lichen that grows like dust on the rocks in the Upside Down.<br><br>Reveals the auras of all Survivors while traversing the Upside Down, and for <b>3 seconds</b> after emerging from a Portal.",Ultra Rare,images/ItemAddons/Qatar/iconAddon_leproseLichen.png
Addon_Demogorgon_LifeguardWhistle,Item_Slasher_QatarKillerPower,Lifeguard Whistle,"A rusty, metal whistle that once ruled the Hawkins public pool.<br><br>Survivors near activated Portals are indicated by Killer Instinct without having to charge <b>Of the Abyss</b>.<b>Reduces</b> the detection range from the portal by <b>1 meter</b>.",Very Rare,images/ItemAddons/Qatar/iconAddon_lifeguardWhistle.png
Addon_Demogorgon_MewsGuts,Item_Slasher_QatarKillerPower,Mew's Guts,The tasty guts of an unfortunate victim.<br><br><b>Increases</b> the total number of available Portals by <b>1</b>.<b>Decreases Shred</b> miss cooldown by <b>11%</b>.,Uncommon,images/ItemAddons/Qatar/iconAddon_mewsGuts.png
Addon_Demogorgon_RatLiver,Item_Slasher_QatarKillerPower,Rat Liver,"A soggy pile of salty, soft liver.<b>Increases</b> movement speed while charging <b>Of The Abyss</b> by <b>3.5%</b>.",Common,images/ItemAddons/Qatar/iconAddon_ratLiver.png
Addon_Demogorgon_RatTail,Item_Slasher_QatarKillerPower,Rat Tail,A chewy rat tail for The Demogorgon to consume.<b>Increases</b> speed of opening a Portal by <b>35%</b>.,Common,images/ItemAddons/Qatar/iconAddon_ratTail.png
Addon_Demogorgon_RedMoss,Item_Slasher_QatarKillerPower,Red Moss,"A psychedelic moss that grows on tree barks in the Upside Down.<br><br><b>Increases</b> time required to emerge from a Portal by <b>15%</b>.<b>Increases</b> the duration of the <b>Undetectable</b> effect gained when emerging from a Portal by <b>8 seconds</b>.Emerging from Portals becomes silent.<br><br>Undetectable hides the Killer's aura, Terror Radius, and Red Stain.",Ultra Rare,images/ItemAddons/Qatar/iconAddon_redMoss.png
Addon_Demogorgon_RottenGreenTripe,Item_Slasher_QatarKillerPower,Rotten Green Tripe,Rotten tripe that fuels The Demogorgon.<b>Increases</b> Upside Down movement speed by <b>15%</b>.,Uncommon,images/ItemAddons/Qatar/iconAddon_rottenGreenTripe.png
Addon_Demogorgon_RottenPumpkin,Item_Slasher_QatarKillerPower,Rotten Pumpkin,"Pumpkin flesh infected by the rotten soil in Hawkins.<br><br>When traversing the Upside Down, the Portal you enter is destroyed. Gain an additional <b>200 Bloodpoints</b> for the traversal.",Common,images/ItemAddons/Qatar/iconAddon_rottenPumpkin.png
Addon_Demogorgon_StickyLining,Item_Slasher_QatarKillerPower,Sticky Lining,"A fetid, viscous layer that covers and expands the interdimensional tunnels.<br><br><b>Increases</b> the distance from Portals at which Survivors can be detected by <b>Of The Abyss</b> by <b>2.5 meters</b>.",Uncommon,images/ItemAddons/Qatar/iconAddon_stickyLining.png
Addon_Demogorgon_ThornyVines,Item_Slasher_QatarKillerPower,Thorny Vines,"Thick, thorny vines that stretch and reinforce the interdimensional tunnels.<br><br><b>Increases</b> time required for Survivors to seal Portals by <b>11%</b><b>Increases</b> the distance from Portals at which Survivors can be detected by <b>Of The Abyss</b> by <b>1 meter</b>.",Rare,images/ItemAddons/Qatar/iconAddon_thornyVines.png
Addon_Demogorgon_UnknownEgg,Item_Slasher_QatarKillerPower,Unknown Egg,"A large, warm egg coated in gruesome webbing.<br><br><b>Decreases</b> the cooldown after traversing the Upside Down by <b>1.5 seconds</b>.",Very Rare,images/ItemAddons/Qatar/iconAddon_unknownEgg.png
Addon_Demogorgon_UpsideDownResin,Item_Slasher_QatarKillerPower,Upside Down Resin,"A sticky, flammable sap that fortifies the gateway to the interdimensional tunnels.<b>Increases</b> time required for Survivors to seal Portals by <b>40%</b>.",Very Rare,images/ItemAddons/Qatar/iconAddon_upsidedownResin.png
Addon_Demogorgon_VermillionWebcap,Item_Slasher_QatarKillerPower,Vermillion Webcap,"A bright red poisonous mushroom from the Upside Down.<br><br><b>Increases</b> the duration of the <b>Undetectable</b> effect gained when emerging from a Portal by <b>3 seconds</b>.<br><br>Undetectable hides the Killer's aura, Terror Radius and Red Stain.",Very Rare,images/ItemAddons/Qatar/iconAddon_vermillionWebcap.png
Addon_Demogorgon_VioletWaxCap,Item_Slasher_QatarKillerPower,Violet Waxcap,"A dark fleshed mushroom from the Upside Down that allows The Demogorgon to telepathically distort the senses in its prey.<br><br><b>Increases</b> the duration of the <b>Undetectable</b> effect gained when emerging from a Portal by <b>0.5 seconds</b>.<br><br>Undetectable hides the Killer's aura, Terror Radius and Red Stain.",Rare,images/ItemAddons/Qatar/iconAddon_violetWaxcap.png
Addon_Demogorgon_ViscousWebbing,Item_Slasher_QatarKillerPower,Viscous Webbing,"Wet, elastic webs that broaden the interdimensional tunnels.<b>Increases</b> time required for Survivors to seal Portals by <b>16%</b>.",Uncommon,images/ItemAddons/Qatar/iconAddon_viscousWebbing.png
Addon_DreamInducer_BlackBox,Item_Slasher_DreamInducer,Black Box,A black cardboard box filled with photographs.<br><br>While Survivors are in the Dream World:<br><br>Recently-opened exit gates are blocked for <b>15 seconds</b>.,Ultra Rare,images/ItemAddons/England/iconAddon_blackBox.png
Addon_DreamInducer_BlueDress,Item_Slasher_DreamInducer,Blue Dress,A little girl's pale blue dress with white lace which front is ruined by large cuts.<br><br>While Survivors are in the Dream World:<br><br><b>Increases</b> healing and repair skill check penalties by <b>4%</b>.Failing a healing or repair skill check reveals the Survivor's aura for <b>4 seconds</b>.,Rare,images/ItemAddons/England/iconAddon_blueDress.png
