id,survivorID,killerID,outfitID,name,description,role,type,collection,rarity,purchasable,image
AV_Legs002_01,6,,Ace_outfit_007,Shady Magenta Slacks,,Survivor,Legs,Loveable Rogue,Rare,1,images/Customization/Ace/AV_Legs002_01.png
AV_Legs002_02,6,,Ace_outfit_008,Phony Ninja Slacks,,Survivor,Legs,Loveable Rogue,Rare,1,images/Customization/Ace/AV_Legs002_02.png
AV_Legs003,6,,Ace_outfit_006,Light and Loafy,,Survivor,Legs,Man About Town,Uncommon,1,images/Customization/Ace/AV_Legs003.png
AV_Legs003_01,6,,Ace_outfit_004,Lady-Killer Loafers,,Survivor,Legs,Man About Town,Uncommon,1,images/Customization/Ace/AV_Legs003_01.png
AV_Legs003_02,6,,Ace_outfit_005,Midnight Loafers,,Survivor,Legs,Man About Town,Uncommon,1,images/Customization/Ace/AV_Legs003_02.png
AV_Legs007,6,,Ace_outfit_007_01,Dark Floral Trousers,"Silk trousers with a dark red, floral pattern. Comes with a pair of dressy, slip-on leather shoes with a gold pointed toe. Brings a modern refinement to this sleek classic.",Survivor,Legs,Moonrise,Special Event,0,images/Customization/Ace/AV_Legs007.png
AV_Legs008,6,,Ace_outfit_008_01,Muddy slacks,"Even the best gambler has to make some quick exits, but the lucky rabbit's foot will surely keep you safe? Didn't work for the rabbit though.",Survivor,Legs,Spring Ensembles,Very Rare,1,images/Customization/Ace/AV_Legs008.png
AV_Legs009,6,,AV_outfit_009,Fighter Pilot Trousers,"Comfortable and cool flight pants that look great whether on the ground or at 25,000 feet.",Survivor,Legs,War Is Hell,Very Rare,1,images/Customization/Ace/AV_Legs009.png
AV_Legs010,6,,AV_outfit_010,Midnight Sequin Pants,"Wearing his best sequin pants, he reminisced about Vegas' golden age, when the city was still a shining beacon of prestige.",Survivor,Legs,Mean Streets,Very Rare,1,images/Customization/Ace/AV_Legs010.png
AV_Legs010_01,6,,AV_outfit_010_01,Disco Groove,If you’re going to wear a disco outfit you’ve got to go with tight fitting pants.,Survivor,Legs,Halloween 2021,Uncommon,0,images/Customization/Ace/AV_Legs010_01.png
AV_Legs011,6,,AV_outfit_011,Ol' Luckys,"A denim and cowboy boot combo that has been with Ace for many of his greatest victories. Bolstered by the lucky club belt buckle, there's no chance of defeat.",Survivor,Legs,Conviction,Rare,1,images/Customization/Ace/AV_Legs011.png
AV_Legs012,6,,AV_outfit_012,Pine Legs,"Festive pants, somewhat overshadowed by the creative bowed shoes.",Survivor,Legs,Holiday Horror,Very Rare,0,images/Customization/Ace/AV_Legs012.png
AV_Legs012_01,6,,AV_outfit_012_01,Apex Slacks,"You might think you have him on the flop or the turn, but the river is where the tiger is king.",Survivor,Legs,Autumn Chill,Very Rare,0,images/Customization/Ace/AV_Legs012_01.png
AV_Legs013,6,,AV_outfit_013,Bad Move Shorts,"The gear he had bought at the store was useless apparently to catch his prized saltwater fish. To make things worse, his low rubber boots and shorts let the freezing water in.",Survivor,Legs,Sea-Washed Creatures,Very Rare,1,images/Customization/Ace/AV_Legs013.png
AV_Legs014,6,,AV_outfit_014,Vineyard Slacks,A pair of pants sporting a shiny belt buckle of grapes. The sockless loafers compliment the relaxed style.,Survivor,Legs,Greek Legends,Very Rare,1,images/Customization/Ace/AV_Legs014.png
AV_Legs015,6,,AV_outfit_015,Cuffed Denims,The easiest part of the outfit: jeans. Ace put a bit of effort and rolled up the cuffs to display a pair of bright red socks.,Survivor,Legs,Rockabilly,Very Rare,1,images/Customization/Ace/AV_Legs015.png
AV_Legs017,6,,AV_outfit_017,Murderer’s Slacks,His knack and taste for killing spoke to his true motivation: God-like power.,Survivor,Legs,Attack On Titan Collection,Very Rare,1,images/Customization/Ace/AV_Legs017.png
AV_Legs01_CV01,6,,Ace_outfit_010,Fortuitous Jeans (Camel),,Survivor,Legs,Ace Essentials,Common,1,images/Customization/Ace/AV_Legs01_CV01.png
AV_Legs01_CV05,6,,Ace_outfit_014,Fortuitous Jeans (Light Blue),,Survivor,Legs,Ace Essentials,Common,1,images/Customization/Ace/AV_Legs01_CV05.png
AV_Legs01_CV06,6,,Ace_outfit_015,Fortuitous Jeans (Dark Brown),,Survivor,Legs,Ace Essentials,Common,1,images/Customization/Ace/AV_Legs01_CV06.png
AV_Legs01_CV07,6,,Ace_outfit_016,Fortuitous Jeans (Charcoal),,Survivor,Legs,Ace Essentials,Common,1,images/Customization/Ace/AV_Legs01_CV07.png
AV_Legs01_CV08,6,,Ace_outfit_017,Fortuitous Jeans (Gray),,Survivor,Legs,Ace Essentials,Common,1,images/Customization/Ace/AV_Legs01_CV08.png
AV_Legs02,6,,,Grey Tux Trousers,The finest trousers scam money can buy.,Survivor,Legs,,Common,0,images/Customization/AV_Legs02.png
AV_Legs02_03,6,,,Deluxe Tux Trousers,A pair of expertly tailored dress pants along with fine leather shoes that Ace won in a game of Omaha.,Survivor,Legs,Summer Cookout,Uncommon,1,images/Customization/Ace/AV_Legs02_03.png
AV_Torso001,6,,Ace_outfit_003,Lover Boy Jacket,This one is for the ladies.,Survivor,Torso,Smoking Jacket,Very Rare,1,images/Customization/Ace/AV_Torso001.png
AV_Torso001_01,6,,Ace_outfit_001,Money Maker Jacket,,Survivor,Torso,Smoking Jacket,Very Rare,1,images/Customization/Ace/AV_Torso001_01.png
AV_Torso001_02,6,,Ace_outfit_002,Gold & Gravy Jacket,,Survivor,Torso,Smoking Jacket,Very Rare,1,images/Customization/Ace/AV_Torso001_02.png
AV_Torso002,6,,Ace_outfit_009,No Sweat Sweater,,Survivor,Torso,Loveable Rogue,Rare,1,images/Customization/Ace/AV_Torso002.png
AV_Torso002_01,6,,Ace_outfit_007,Shady Mauve Sweater,,Survivor,Torso,Loveable Rogue,Rare,1,images/Customization/Ace/AV_Torso002_01.png
AV_Torso002_02,6,,Ace_outfit_008,Fake Flamingo Sweater,"Pink Flamingos, for the 'filthiest person alive'.",Survivor,Torso,Loveable Rogue,Rare,1,images/Customization/Ace/AV_Torso002_02.png
AV_Torso002_03,6,,,Twitchy Ace,Twitchy Ace is twitching.,Survivor,Torso,,Uncommon,0,images/Customization/Ace/AV_Torso002_03.png
AV_Torso003,6,,Ace_outfit_006,Pink and Proud,Nothin' unmanly about a lad in pink.,Survivor,Torso,Man About Town,Uncommon,1,images/Customization/Ace/AV_Torso003.png
AV_Torso003_01,6,,Ace_outfit_004,Fistful O' Pineapples,,Survivor,Torso,Man About Town,Uncommon,1,images/Customization/Ace/AV_Torso003_01.png
AV_Torso003_02,6,,Ace_outfit_005,Catwalk Shirt,,Survivor,Torso,Man About Town,Uncommon,1,images/Customization/Ace/AV_Torso003_02.png
AV_Torso003_03,6,,,Splashin’ the Pot,A light and comfortable shirt that allows you to express yourself perfectly.,Survivor,Torso,,Uncommon,0,images/Customization/Ace/AV_Torso003_03.png
AV_Torso003_04,6,,AV_outfit_010_01,Dead Head,A busy disco shirt with more skulls than a catacomb.,Survivor,Torso,Halloween 2021,Uncommon,0,images/Customization/Ace/AV_Torso003_04.png
AV_Torso006,6,,,Four Pips,It's time to show your winning hand.,Survivor,Torso,Ugly Sweaters,Rare,0,images/Customization/Ace/AV_Torso006.png
AV_Torso007,6,,Ace_outfit_007_01,Red & Gold Tangzhuang,"A semi-traditional, stylish jacket for Ace to join in the most exclusive tables.",Survivor,Torso,Moonrise,Special Event,0,images/Customization/Ace/AV_Torso007.png
AV_Torso008,6,,Ace_outfit_008_01,Daisy Vest,Bright colors and a daisy pattern make you stand out from the pack.,Survivor,Torso,Spring Ensembles,Very Rare,1,images/Customization/Ace/AV_Torso008.png
AV_Torso009,6,,AV_outfit_009,Pin-Up Flight Jacket,Take to the skies with a timelessly classy leather jacket and a handful of bullets.,Survivor,Torso,War Is Hell,Very Rare,1,images/Customization/Ace/AV_Torso009.png
AV_Torso010,6,,AV_outfit_010,Coarse Shag,"Dressed in his lucky shirt, he rented a decadent vintage convertible. Then he hit the road.",Survivor,Torso,Mean Streets,Very Rare,1,images/Customization/Ace/AV_Torso010.png
AV_Torso011,6,,AV_outfit_011,Hell Kickin' Hero,A sleeveless hoodie sporting an epic design that conjures all kinds of heroic fantasies.,Survivor,Torso,Conviction,Rare,1,images/Customization/Ace/AV_Torso011.png
AV_Torso012,6,,AV_outfit_012,Ace Viscontree,A holiday jacket adorned with ornaments and garland. The perfect mix of classiness and gaudiness for winter on the Vegas strip.,Survivor,Torso,Holiday Horror,Very Rare,0,images/Customization/Ace/AV_Torso012.png
AV_Torso012_01,6,,AV_outfit_012_01,Striped Affluence,Why would a card shark be scary? They don’t even come on land. He’s a card TIGER.,Survivor,Torso,Autumn Chill,Very Rare,0,images/Customization/Ace/AV_Torso012_01.png
AV_Torso013,6,,AV_outfit_013,Amateur Fishing Vest,"He geared up for the fishing experience of a lifetime, hopefully the only one. But upon boarding the boat, he saw that everyone’s fishing gear looked different from the one he had.",Survivor,Torso,Sea-Washed Creatures,Very Rare,1,images/Customization/Ace/AV_Torso013.png
AV_Torso014,6,,AV_outfit_014,Horn of Plenty,"A shirt celebrating bountiful harvests and wine, wine, wine. The merlot stains are an added bonus, providing an aroma one would rarely find in this realm.",Survivor,Torso,Greek Legends,Very Rare,1,images/Customization/Ace/AV_Torso014.png
AV_Torso015,6,,AV_outfit_015,Lucky Leather Jacket,The lucky jacket he won during one wild night in Atlantic City. Tonight was the perfect occasion to pull it out of the drawer. Matched with a funky shirt he found at a thrift store.,Survivor,Torso,Rockabilly,Very Rare,1,images/Customization/Ace/AV_Torso015.png
AV_Torso017,6,,AV_outfit_017,Glistening Armor,A career as a military captain was perfect cover for his sordid hobby.,Survivor,Torso,Attack On Titan Collection,Very Rare,1,images/Customization/Ace/AV_Torso017.png
AV_Torso01_CV01,6,,Ace_outfit_010,Charmed Jacket & Shirt (Ash Gray / Blue-Gray),,Survivor,Torso,Ace Essentials,Common,1,images/Customization/Ace/AV_Torso01_CV01.png
AV_Torso01_CV05,6,,Ace_outfit_014,Charmed Jacket & Shirt (Black / Maroon),,Survivor,Torso,Ace Essentials,Common,1,images/Customization/Ace/AV_Torso01_CV05.png
AV_Torso01_CV06,6,,Ace_outfit_015,Charmed Jacket & Shirt (Brown / Plum),,Survivor,Torso,Ace Essentials,Common,1,images/Customization/Ace/AV_Torso01_CV06.png
AV_Torso01_CV07,6,,Ace_outfit_016,Charmed Jacket & Shirt (Dark Blue / Auburn),,Survivor,Torso,Ace Essentials,Common,1,images/Customization/Ace/AV_Torso01_CV07.png
AV_Torso01_CV08,6,,Ace_outfit_017,Charmed Jacket & Shirt (Maroon / Blue-Gray),,Survivor,Torso,Ace Essentials,Common,1,images/Customization/Ace/AV_Torso01_CV08.png
AV_Torso02,6,,,Grey Tux Jacket,Under the suit beats a heart that always belonged to the cards.,Survivor,Torso,,Common,0,images/Customization/AV_Torso02.png
AV_Torso02_03,6,,,Best Vest,"An elegant vest that went missing from a casino’s storeroom, and somehow found its way to Ace’s closet.",Survivor,Torso,Summer Cookout,Uncommon,1,images/Customization/Ace/AV_Torso02_03.png
BE_Body006,,268435463,Bear_outfit_003,Hunting Hitatare,,Killer,Body,Grim Matsuri,Very Rare,1,images/Customization/Huntress/BE_Body006.png
BE_Body006_02,,268435463,,Hunting Hitatare (Winter Blue),"Hunt with bow, arrow, and ax in the dead of night. This archery formalwear comes with a sturdy Igote to steady your aim while on the run. It’s hunting time!",Killer,Body,,Very Rare,0,images/Customization/Huntress/BE_Body006_02.png
BE_Body007,,268435463,Bear_outfit_006,Pelt Lice,,Killer,Body,Hallowed Blight,Special Event,1,images/Customization/Huntress/BE_Body007.png
BE_Body008,,268435463,Bear_outfit_008,Red Sarafan,"A long, traditional dress made of linen with large floral embroidery, decorated with natural motifs.",Killer,Body,Moonrise,Special Event,0,images/Customization/Huntress/BE_Body008.png
BE_Body009,,268435463,BE_outfit_009,Traditional Pelt Coat,"Made from many pelts, and patched with many more. Provides surprising levels of warmth.",Killer,Body,Lost Tribe,Very Rare,1,images/Customization/Huntress/BE_Body009.png
BE_Body010,,268435463,BE_outfit_010,Bony Ribs,"Each morning, she hunted and brought back game ranging from rodents to vultures, all to be sacrificed.",Killer,Body,Winter Tales,Very Rare,0,images/Customization/Huntress/BE_Body010.png
BE_Body011,,268435463,BE_outfit_011,Stolen Valor,The tattered uniform of a Cossack soldier who fought bravely against Anna and paid the ultimate price.,Killer,Body,Escalation,Very Rare,1,images/Customization/Huntress/BE_Body011.png
BE_Body012,,268435463,BE_outfit_012,Queen's Shroud,"Alerted by a howl in the moonless night, she hunted trespassers and tore them into pieces.",Killer,Body,The Crypt Tv,Legendary,1,images/Customization/Huntress/BE_Body012.png
BE_Body013,,268435463,BE_outfit_013,Scorcher,"Her clothing, burnt to shreds, provided little protection from the fire. The pain was seared into her skin.",Killer,Body,Grim Resolutions,Rare,1,images/Customization/Huntress/BE_Body013.png
BE_Body014,,268435463,BE_outfit_014,Traditional Garb,Intricate garb of the fabrics stitched from the clothes of her victims.,Killer,Body,Modern Tales,Ultra Rare,1,images/Customization/Huntress/BE_Body014.png
BE_Body017,,268435463,BE_outfit_017,Sand Flower Dress,All that was important to her was that the dress stayed out of her way while she hunted.,Killer,Body,Hooked On You Collection,Very Rare,1,images/Customization/Huntress/BE_Body017.png
BE_Body018,,268435463,BE_outfit_018,Chain Mail,Nothing could hurt her when she wore this impregnable armor.,Killer,Body,Of Blood And Rust Collection,Rare,0,images/Customization/Huntress/BE_Body018.png
BE_Body018_01,,268435463,BE_outfit_018_01,Chain Mail (Deep Rift),Nothing in any realm could hurt her when she wore this impregnable armor.,Killer,Body,Deep Rift Collection,Rare,0,images/Customization/Huntress/BE_Body018_01.png
BE_Body01_02,,268435463,Bear_outfit_005,Sakhalin Knitted Sweater,,Killer,Body,Winter Wool,Uncommon,1,images/Customization/Huntress/BE_Body01_02.png
BE_Body01_03,,268435463,Bear_outfit_004,Raw Cashmere Sweater,,Killer,Body,Winter Wool,Uncommon,1,images/Customization/Huntress/BE_Body01_03.png
BE_Body01_CV01,,268435463,,Marauder's Sarafan (Macabre),,Killer,Body,Huntress Aberrations,Common,1,images/Customization/Huntress/BE_Body01_CV01.png
BE_Body01_CV02,,268435463,,Marauder's Sarafan (Rough),,Killer,Body,Huntress Aberrations,Common,1,images/Customization/Huntress/BE_Body01_CV02.png
BE_Body01_CV03,,268435463,,Marauder's Sarafan (Repulsive),,Killer,Body,Huntress Aberrations,Common,1,images/Customization/Huntress/BE_Body01_CV03.png
BE_Body01_CV04,,268435463,,Marauder's Sarafan (Tainted),,Killer,Body,Huntress Aberrations,Common,1,images/Customization/Huntress/BE_Body01_CV04.png
BE_Body01_CV05,,268435463,,Marauder's Sarafan (Bristly),,Killer,Body,Huntress Aberrations,Common,1,images/Customization/Huntress/BE_Body01_CV05.png
BE_Body01_CV06,,268435463,,Marauder's Sarafan (Grisly),,Killer,Body,Huntress Aberrations,Common,1,images/Customization/Huntress/BE_Body01_CV06.png
BE_Body03,,268435463,Bear_outfit_001,Thick Hunter's Coat,,Killer,Body,Koshka,Rare,1,images/Customization/Huntress/BE_Body03.png
BE_Body04,,268435463,Bear_outfit_002,Winter's Hearth,Look children! Toys for you to admire!,Killer,Body,Medveditsa,Very Rare,1,images/Customization/Huntress/BE_Body04.png
BE_Body04_01,,268435463,BE_outfit_04_01,Winter's Respite,This light garb is not meant for long periods in the harsh wilderness. Curl up and take refuge from the cold winds in front of the fireplace.<br><br>Look children! Toys for you to admire!,Killer,Body,Medveditsa,Very Rare,0,images/Customization/Huntress/BE_Body04_01.png
BE_Head01_4A,,268435463,,Crown of The Entity,A crown emanating a festive and ominous aura created by The Entity’s biggest fan.,Killer,Head,Birthday Crown,Special Event,0,images/Customization/Huntress/BE_Head01_4A.png
BE_Head01_5A,,268435463,,5th Anniversary Crown,A crown crafted for a very special anniversary.,Killer,Head,5Th Anniversary,Special Event,0,images/Customization/Huntress/BE_Head01_5A.png
BE_Mask006,,268435463,Bear_outfit_003,Forest Eagle-Owl Skull,,Killer,Head,Grim Matsuri,Very Rare,1,images/Customization/Huntress/BE_Mask006.png
BE_Mask007,,268435463,Bear_outfit_006,Mucky Eyes,,Killer,Head,Hallowed Blight,Special Event,1,images/Customization/Huntress/BE_Mask007.png
BE_Mask008,,268435463,Bear_outfit_008,Wild Boar,"A brown-haired, muddy boar head with long, sharp tusks. Ideal to crush your opponent.",Killer,Head,Moonrise,Special Event,0,images/Customization/Huntress/BE_Mask008.png
BE_Mask009,,268435463,BE_outfit_009,Snow Ram Skull,A way to commemorate the decapitation of a terrified animal.,Killer,Head,Lost Tribe,Very Rare,1,images/Customization/Huntress/BE_Mask009.png
BE_Mask010,,268435463,BE_outfit_010,Runny Antlers,The bloody remains of the reindeer she decapitated on the first night.,Killer,Head,Winter Tales,Very Rare,0,images/Customization/Huntress/BE_Mask010.png
BE_Mask011,,268435463,BE_outfit_011,Horsewoman of the Apocalypse,A macabre mask whose original purpose of design is unknown. It seemed a fitting visage for Anna as she massacred German cavalry units.,Killer,Head,Escalation,Very Rare,1,images/Customization/Huntress/BE_Mask011.png
BE_Mask012,,268435463,BE_outfit_012,Skull of Flesh-Eaters,"After desperation turned her to cannibalism, her flesh melted away, horns adorned her head and she became the monster that her hunger drove her to be.",Killer,Head,The Crypt Tv,Legendary,1,images/Customization/Huntress/BE_Mask012.png
BE_Mask013,,268435463,BE_outfit_013,Shell Shock,"Under the mask was pain, confusion, and fear.",Killer,Head,Grim Resolutions,Rare,1,images/Customization/Huntress/BE_Mask013.png
BE_Mask014,,268435463,BE_outfit_014,Mask of Judgement,"Two faces as one, embodying the paradoxical identity of villain and provider.",Killer,Head,Modern Tales,Ultra Rare,1,images/Customization/Huntress/BE_Mask014.png
BE_Mask015,,268435463,,Huntress’s Mask,A mask they found themselves wearing at the masquerade ball.,Killer,Head,Twisted Masquerade Collection,Special Event,0,images/Customization/Huntress/BE_Mask015.png
BE_Mask017,,268435463,BE_outfit_017,Sea Hunter,Her starfish hairpin and floating blue veil make her feel like the little girl living by the sea.,Killer,Head,Hooked On You Collection,Very Rare,1,images/Customization/Huntress/BE_Mask017.png
BE_Mask018,,268435463,BE_outfit_018,Owl Helmet,"At night, you might mistake her for a wild animal in the forest.",Killer,Head,Of Blood And Rust Collection,Rare,0,images/Customization/Huntress/BE_Mask018.png
BE_Mask018_01,,268435463,BE_outfit_018_01,Owl Helmet (Deep Rift),"In the darkness of the Trials, you might mistake her for a beast hiding in trees.",Killer,Head,Deep Rift Collection,Rare,0,images/Customization/Huntress/BE_Mask018_01.png
BE_Mask01_01,,268435463,,Hare - Black,Don't be afraid child. The gentle Hare will take good care of you.,Killer,Head,,Common,0,images/Customization/DLC5/BE_Mask01_01.png
BE_Mask01_02,,268435463,Bear_outfit_005,Obzhynki Skull,,Killer,Head,Winter Wool,Uncommon,1,images/Customization/Huntress/BE_Mask01_02.png
BE_Mask01_03,,268435463,Bear_outfit_004,Kolyada Skull,,Killer,Head,Winter Wool,Uncommon,1,images/Customization/Huntress/BE_Mask01_03.png
BE_Mask01_Ohmwrecker,,268435463,,The Ohmwrecker,"A unique mask for the Huntress,&nbsp;created for The Ohmwrecker.",Killer,Head,,Uncommon,0,images/Customization/CharityChest/BE_Mask01_Ohmwrecker.png
BE_Mask01_WinterEvent2017,,268435463,,Frosty Eyes,Heart chilling eyes of the cold-blooded.,Killer,Head,,Uncommon,0,images/Customization/WinterEvent/BE_Mask01_WinterEvent2017.png
BE_Mask03,,268435463,Bear_outfit_001,Little Pussycat,,Killer,Head,Koshka,Rare,1,images/Customization/Huntress/BE_Mask03.png
BE_Mask03_01,,268435463,,Miss Pussens,"Come child, don't cry. Be good for your kitty momma.",Killer,Head,Koshka,Rare,0,images/Customization/Huntress/BE_Mask03_01.png
BE_Mask04,,268435463,Bear_outfit_002,Grisly Bear Skull,,Killer,Head,Medveditsa,Very Rare,1,images/Customization/Huntress/BE_Mask04.png
BE_Mask04_01,,268435463,BE_outfit_04_01,Wretched Bear Skull,Let the fear of death and disgust wash over you; your quarry will feel it even more so. That is when you strike!,Killer,Head,Medveditsa,Very Rare,0,images/Customization/Huntress/BE_Mask04_01.png
BE_W006,,268435463,Bear_outfit_003,Extended Wono Ax,,Killer,Weapon,Grim Matsuri,Very Rare,1,images/Customization/Huntress/BE_W006.png
BE_W006_01,,268435463,,Lacquered Wono Ax,Forged from three layers of carbon steel with a heavier head and longer shaft than traditional wono models. Meant to gut and shred.,Killer,Weapon,Grim Matsuri,Very Rare,0,images/Customization/Huntress/BE_W006_01.png
BE_W007,,268435463,Bear_outfit_006,Rancid Broadaxe,,Killer,Weapon,Hallowed Blight,Special Event,1,images/Customization/Huntress/BE_W007.png
