id,survivorID,killerID,name,role,description,tunables,teachable,image
BuiltToLast,22,,Built to Last,Survivor,"You know how to get the most out of your tools.<br><br>After hiding inside a locker for {0} seconds with a depleted item in hand, {1}% of its charges are refilled.<br><br>Each use of <i>Built to Last</i> reduces the amounts of charges refilled by {2}%.","[['14', '13', '12'], ['99'], ['33']]",40,images/Perks/Yemen/iconPerks_builtToLast.png
Calm_Spirit,3,,Calm Spirit,Survivor,"Animals seem to trust you as they often stay calm in your presence.<br><br><li>Reduces chances of alerting woodland creatures by 100%.</li><li>Allows you to overcome the urge to scream.</li><li>Allows you to open chests and cleanse/bless Totems silently, but at {0}% reduced speed.</li>","[['40', '35', '30']]",35,images/Perks/iconPerks_calmSpirit.png
Camaraderie,18,,Kinship,Survivor,"Life has taught you the importance of friendship which has given you strength.<br><br>While you are on the hook in the struggle phase, <i>Kinship</i> activates.<br><br>If another Survivor is within {0} meters of you while <i>Kinship</i> is activated, the hook timer is paused for {1} seconds.","[['16'], ['26', '30', '34']]",,images/Perks/Qatar/iconPerks_camaraderie.png
CorruptIntervention,,268435470,Corrupt Intervention,Killer,Your prayers invoke a dark power that meddles with the Survivors’s chances of survival.<br><br>{0} generators located furthest from you are blocked by The Entity for {1} seconds at the start of the trial.<br><br>Survivors cannot repair these generators for the duration. Affected generators are highlighted by a white aura.<br><br><i>Corrupt Intervention</i>&nbsp;deactivates when any Survivor enters the dying state.,"[['3'], ['80', '100', '120']]",30,images/Perks/Mali/iconPerks_corruptIntervention.png
Coulrophobia,,268435467,Coulrophobia,Killer,"Even those without a fear of clowns know to be terrified of you.<br><br>Survivors within your Terror Radius have a {0}% penalty to healing progression speed, and healing Skill Checks move 50% faster.<br>","[['30', '40', '50']]",35,images/Perks/Guam/iconPerks_coulrophobia.png
CruelConfinement,,268435472,Claustrophobia,Killer,"Your ties to the otherworldly manifest when your prey attempts to get away.<br><br>Every time a generator is completed, all windows and vault locations within a {0} meter radius of the completed generator are blocked for all Survivors for the next {1} seconds.<br><br>You see the aura of the vault locations blocked by <i>Claustrophobia</i> for the duration.","[['32'], ['20', '25', '30']]",,images/Perks/Qatar/iconPerks_cruelConfinement.png
Dance_with_me,10,,Dance With Me,Survivor,"When performing a fast vault or leaving a locker in a sprint, you leave no scratch marks for {0} seconds.<br><br><i>Dance With Me</i> has a cooldown of {1} seconds.","[['3'], ['60', '50', '40']]",30,images/Perks/Kate/iconPerks_danceWithMe.png
DarkDevotion,,268435470,Dark Devotion,Killer,"The display of your powers creates a whirlwind of panic that spreads throughout the land.<br><br>You become obsessed with one Survivor. When the Obsession loses a health state, your Terror Radius transfers to the Obsession for {1}&nbsp;seconds, and its radius is set to {0}&nbsp;meters.<br><br>You are granted the <b>Undetectable</b> status effect for the duration.<br><br>The Survivor with the transferred Terror Radius is also considered to be ""inside the Terror Radius"" for other purposes.<br><br>The Killer can only be <b>obsessed</b> with one Survivor at a time.<br><br>Undetectable hides the Killer's aura, Terror Radius, and Red Stain.","[['32'], ['20', '25', '30']]",40,images/Perks/Mali/iconPerks_darkDevotion.png
Dark_Sense,,,Dark Sense,Survivor,"Unlocks potential in one's aura reading ability.<br><br>Each time a generator is completed, <i>Dark Sense</i> activates.<br><br>While <i>Dark Sense</i> is active, the Killer entering a 24-meter radius around you reveals their aura for {0} seconds.<br><br>Once the aura's duration expires, <i>Dark Sense</i> deactivates.","[['5', '7', '10']]",,images/Perks/iconPerks_darkSense.png
DeadHard,9,,Dead Hard,Survivor,"You can take a beating. When injured, tap into your adrenaline bank to avoid incoming damage.<br><br><li>Press the <i>Active Ability Button 1</i> while running to gain the Endurance status effect for the next 0.5 seconds.</li><li>Causes the <i>Exhausted</i> status effect for {0} seconds.</li><br><br>Endurance prevents a Survivor from being downed, inflicting Deep Wound instead.<br><br>Deep Wound will put a Survivor in the dying state unless it is mended before the timer runs out.<br><br>Exhausted prevents survivors from activating exhausting perks.","[['60', '50', '40']]",35,images/Perks/DLC5/iconPerks_DeadHard.png
DeadMansSwitch,,268435474,Dead Man’s Switch,Killer,"When you hook a Survivor, <i>Dead Man’s Switch</i> activates for the next {0} seconds.<br><br>While activated, any Survivor that stops repairing a generator before it is fully repaired causes The Entity to block the generator until <i>Dead Man’s Switch's</i> effect ends.<br><br>Affected generators are highlighted by a white aura.","[['20', '25', '30']]",35,images/Perks/Ukraine/iconPerks_deadManSwitch.png
Deathbound,,268435475,Deathbound,Killer,"Those whose lives are intertwined in darkness are destined to suffer together.<br><br>When a Survivor heals another Survivor for one health state at least {0}&nbsp;meters away from the Killer,&nbsp;the Survivor performing the healing action will scream, revealing their location and activating <i>Deathbound</i> for the next {1}&nbsp;seconds. During that time, the Survivor will suffer from the <b>Oblivious</b> status effect when further than {2}&nbsp;meters away from the healed Survivor.<br><br>Oblivious prevents Survivors from hearing or being affected by the Killer's Terror Radius.","[['32'], ['60'], ['16', '12', '8']]",40,images/Perks/Wales/iconPerks_deathbound.png
DecisiveStrike,5,,Decisive Strike,Survivor,"Stab at your aggressor in an attempt to escape.<br><br>After being unhooked or unhooking yourself, <i>Decisive Strike</i> activates for {0} seconds.<br><br>While active, complete a Skill Check when grabbed by the Killer to escape, stunning them for 3 seconds.<li>Succeeding or failing the Skill Check disables <i>Decisive Strike</i>.</li><li>You become the Obsession after stunning the Killer.</li><li>The perk and its effects are disabled if the exit gates are powered.</li><br><br><i>Increases your chance to be the Obsession.</i><br><br>The Killer can only be obsessed with one Survivor at a time.<br><br>Taking any Conspicuous Action will deactivate <i>Decisive Strike</i>.","[['40', '50', '60']]",40,images/Perks/DLC2/iconPerks_decisiveStrike.png
Deerstalker,,,Deerstalker,Killer,Unlocks potential in one's aura reading ability. Reveals dying Survivors' auras when standing within a {0} meter range.,"[['20', '28', '36']]",,images/Perks/iconPerks_deerstalker.png
Deja_Vu,,,Deja Vu,Survivor,"The auras of 3 generators which are in close proximity to one another are revealed to you for {0} seconds at the start of the match and each time a generator is completed.<br><br>If you are holding a Map that can track generators, generators revealed by <i>Déjà Vu</i> are added to the map.<br><br>Gain a 5% repair speed bonus on the revealed generators.","[['30', '45', '60']]",,images/Perks/iconPerks_dejaVu.png
Deliverance,13,,Deliverance,Survivor,"After performing a safe hook rescue on another Survivor, <i>Deliverance</i> activates.<br><br>You now have a 100% chance of unhooking yourself during the escape attempt.<br><br>A successful <i>Deliverance</i> from the hook triggers the <b>Broken</b> status effect for {0} seconds.<br><br>Broken prevents Survivors from being healed.","[['100', '80', '60']]",35,images/Perks/Haiti/iconPerks_deliverance.png
DesperateMeasures,22,,Desperate Measures,Survivor,"You refuse to fail, even during your darkest hour.<br><br>For each injured, hooked, or dying Survivor, increase the speed of your healing and unhook actions by {0}%.","[['10', '12', '14']]",35,images/Perks/Yemen/iconPerks_desperateMeasures.png
DetectivesHunch,12,,Detective's Hunch,Survivor,"Unlocks potential in one's aura reading ability. When a generator is completed, the auras of generators, chests and Totems within {0} meters are revealed to you for {1} seconds.<br><br>If you are holding a Map that can track objectives, generators, chests and Totems revealed by <i>Detective's Hunch</i> are added to the Map.","[['32', '48', '64'], ['10']]",35,images/Perks/Finland/iconPerks_detectivesHunch.png
Discordance,,268435469,Discordance,Killer,"Any generator within a range of {0} meters that is being repaired by two or more Survivors is marked by a yellow aura. When the generator is first highlighted, Discordance triggers a loud noise notification on the generator. After the generator is no longer within range or is no longer being repaired by two or more Survivors, the aura remains for another 4 seconds.","[['64', '96', '128']]",30,images/Perks/Kenya/iconPerks_discordance.png
Distortion,14,,Distortion,Survivor,"You start the Trial with {0} tokens.<br><br>When your aura would be shown to the killer, the perk activates and a token is consumed.<br><br>For the next {1} seconds, while the perk is activated, your aura and scratch marks will not be shown to The Killer.<br><br><li>This perk does not activate when you are in the dying state.</li><li>Regain a token for each 30 seconds spent inside the Killer's Terror Radius.</li><li><i>Distortion</i> may not have more than {0} tokens.</li>","[['3'], ['6', '8', '10']]",40,images/Perks/Kenya/iconPerks_distortion.png
Distressing,,,Distressing,Killer,Your horrifying emanation strikes at a supernaturally long distance.<br><br>Your Terror Radius is increased by {0}%. Gain {1}% more Bloodpoints for actions in the Deviousness category.,"[['22', '24', '26'], ['100']]",,images/Perks/iconPerks_distressing.png
Diversion,13,,Diversion,Survivor,"Being within the Killer's Terror Radius while not in a chase for {0} seconds&nbsp;activates <i>Diversion</i>.<br><br><li>Once <i>Diversion</i> is activated, press the <i>Active Ability Button 1</i> while crouched and motionless to throw a pebble, which creates a distraction for The Killer at a distance of 20 meters.</li><br><br><li>The perk timer resets once the ability has been activated.</li><br><br>The distraction consists of:<br><br><li>A loud noise notification</li><li>Scratch marks</li>","[['40', '35', '30']]",30,images/Perks/Haiti/iconPerks_diversion.png
DragonsGrip,,268435476,Dragon’s Grip,Killer,"After damaging a generator, for the next {0} seconds, the first Survivor that interacts with it will scream, revealing their location for {1} seconds, and becoming afflicted with the <b>Exposed</b> status effect for {2} seconds.<br><br><i>Dragon’s Grip</i> has a cooldown of {3} seconds.<br><br>Exposed Survivors will be downed by basic attacks even if uninjured.","[['30'], ['4'], ['60'], ['120', '100', '80']]",30,images/Perks/Yemen/iconPerks_dragonsGrip.png
Dying_Light,,268435461,Dying Light,Killer,"You become <b>obsessed</b> with one Survivor.<br><br>Your Obsession gains a {0}% action speed bonus to unhooking and healing other Survivors.<br><br>Each time you hook a Survivor other than the Obsession, if the Obsession is alive, gain a token.<br><br>If the Obsession is alive, all Survivors who are not the Obsession get {1}% penalty to repair, healing and sabotage speeds for each token.<br><br>The Killer can only be <b>obsessed</b> with one Survivor at a time.","[['33'], ['2', '2.5', '3']]",40,images/Perks/DLC2/iconPerks_dyingLight.png
Empathy,2,,Empathy,Survivor,Unlocks potential in one's aura reading ability. Dying or injured allies' auras are revealed to you when within a {0} meter range. Empathy does not reveal auras of allies when they are in direct contact with the Killer.,"[['64', '96', '128']]",30,images/Perks/iconPerks_empathy.png
Enduring,,268435458,Enduring,Killer,You are resilient to pain.<br><br>You reduce the duration of <b>pallet stuns</b> by {0}%. Has no effect while carrying a Survivor.,"[['40', '45', '50']]",30,images/Perks/iconPerks_enduring.png
FireUp,,268435465,Fire Up,Killer,"The increased pressure of losing your prey fills you with anger and gives you unsuspected motivation.<br><br>Each time the Survivors complete repairs on a generator, Fire Up grows in power.<br><br><li>For each generator completed, gain a {0}% stackable buff that grants a speed bonus to picking up, dropping, vaulting, damaging generators, and breaking pallets and breakable walls for the remainder of the trial.</li>","[['3', '3.5', '4']]",30,images/Perks/England/iconPerks_fireUp.png
Fixated,17,,Self-Aware,Survivor,"When you have a goal in mind, there’s no turning back: better to ask forgiveness than permission.<br><br>You can see your own scratch marks at all times.<br><br>You walk {0}% faster.","[['10', '15', '20']]",,images/Perks/Qatar/iconPerks_fixated.png
FlipFlop,16,,Flip-Flop,Survivor,"You have an uncanny ability to escape the inevitable.<br><br>While in dying state, {0}% of your recovery progression is converted into wiggle progression when you are picked up by The Killer, up to a maximum of {1}% total wiggle progression.","[['50'], ['40', '45', '50']]",30,images/Perks/Ash/iconPerks_flipFlop.png
ForcedPenance,,268435475,Forced Penance,Killer,Those who stand in the way of duty will&nbsp;suffer&nbsp;harsh judgment.<br><br>Survivors&nbsp;who take a protection hit are&nbsp;inflicted with the <b>Broken</b> status effect for {0}&nbsp;seconds.<br><br>Broken prevents Survivors from being healed.,"[['60', '70', '80']]",30,images/Perks/Wales/iconPerks_forcedPenance.png
ForThePeople,20,,For the People,Survivor,"You risk life and injury for others.<br><br><i>For the People</i> is only active while at full health.<br><br>Press the <i>Active Ability Button 1</i> while healing another Survivor without a Med-Kit to instantly heal them from dying to injured, or from injured to healthy.<br><br>You become injured and receive the <b>Broken</b> status effect for {0} seconds.<br><br>You become the Obsession.<br><br>Equipping this perk <b>decreases</b> your chances of being The Killer’s Obsession at the start of the trial.<br><br><i>The Killer can only be <b>obsessed</b> with one Survivor at a time.</i><br><br>Broken prevents Survivors from being healed.","[['80', '70', '60']]",40,images/Perks/Ukraine/iconPerks_forThePeople.png
FranklinsLoss,,268435464,Franklin's Demise,Killer,"Your basic attacks make Survivors drop their item on impact. While on the ground, it takes up to {0} seconds for the item to <b>lose all of its charges</b> if it is not picked up.<br><br>Reveal items on the ground within {1} meters with a white aura. The Aura will slowly fade to red until the Item is empty of charges.","[['150', '120', '90'], ['32']]",40,images/Perks/Cannibal/iconPerks_franklinsLoss.png
FurtiveChase,,268435471,Furtive Chase,Killer,"You become <b>obsessed</b> with one Survivor. You lurk in the shadows, eliminating your victims one by one. When your Obsession is hooked, <i>Furtive Chase</i> receives a token, up to a maximum of {0} tokens.<br><br>Each token decreases your Terror Radius by {1} meters while in a chase.<br><br>When a Survivor rescues the Obsession from a hook, the rescuer becomes the Obsession.<br><br>The Killer can only be <b>obsessed</b> with one Survivor at a time.","[['2', '3', '4'], ['4']]",40,images/Perks/Oman/iconPerks_furtiveChase.png
Gearhead,,268435474,Gearhead,Killer,"You’ve got an ear for&nbsp;well-oiled gears.<br><br>After a Survivor loses a health state,&nbsp;<i>Gearhead</i> activates.<br><br>While&nbsp;<i>Gearhead</i> is active, the next time a Survivor completes a Great Skill Check while repairing,&nbsp;the perk deactivates and their aura is revealed to you for {0} seconds.","[['6', '8', '10']]",30,images/Perks/Ukraine/iconPerks_gearHead.png
GeneratorOvercharge,,268435462,Overcharge,Killer,"You are fuelled by your hate for progress.<br><br><i>Overcharge</i> a generator by performing the <b>Damage Generator</b> action. The next Survivor interacting with that generator is faced with a difficult Skill Check. Failing the Skill Check results in an additional {0}% loss of progress.<br><br>Succeeding the Skill Check grants no progress but prevents the generator explosion.<br><br>After <i>Overcharge</i> is applied to a generator, its regression speed increases from 75% of normal to 200% of normal over the next 30 seconds.","[['3', '4', '5']]",40,images/Perks/DLC4/iconPerks_generatorOvercharge.png
HangmansTrick,,268435466,Hangman's Trick,Killer,"Your ingenious modifications to hooks alert you of tampering.<br><br><li>Gain a notification when a Survivor begins sabotaging a hook.</li><li>While carrying a Survivor, see the aura of any Survivor within {0} meters of a hook.</li>","[['2', '4', '6']]",30,images/Perks/Finland/iconPerks_hangmansTrick.png
HeadOn,15,,Head On,Survivor,"When your mind is set, there better be no one standing in your way.<br><br>While standing in a locker, for {0} seconds, <i>Head On</i> activates.<br><br>While <i>Head On</i> is activated, perform a rush action to leave a locker to use <i>Head On</i>. If The Killer is standing within <i>Head On's</i> effective range, The Killer is stunned for {1} seconds.<br><br>Causes the Exhausted status effect for {2} seconds.<br><br><i>Head On</i> cannot be used while Exhausted.<br><br>You do not recover from the Exhausted status effect while running.<br><br><i>Head On</i> cannot be used when you have idle crows.<br><br>Exhausted prevents Survivors from activating exhausting perks.","[['3'], ['3'], ['60', '50', '40']]",40,images/Perks/Mali/iconPerks_headOn.png
HexBloodFavor,,268435476,Hex: Blood Favor,Killer,A Hex that gains The Entity’s favor when blood is spilled.<br><br>Injuring a Survivor will call upon The Entity to block pallets from being pulled down within a {0} meter radius of the Survivor location for {1} seconds.<br><br><i>The Hex effects persist as long as the related Hex Totem is standing.</i>,"[['24', '28', '32'], ['15']]",35,images/Perks/Yemen/iconPerks_hexBloodFavor.png
HexRetribution,,268435474,Hex: Retribution,Killer,"A Hex that lashes out upon its destruction. Those who cross you will be punished.<br><br>Any Survivor interacting with a Dull Totem or a Hex Totem will suffer from the <b>Oblivious</b> status effect for {0} seconds.<br><br>If any Hex Totem is removed, including this one, the auras of all Survivors are revealed for {1} seconds.<br><br>Oblivious prevents Survivors from hearing or being affected by the Killer's Terror Radius.","[['35', '40', '45'], ['15']]",40,images/Perks/Ukraine/iconPerks_hexRetribution.png
HexUndying,,268435476,Hex: Undying,Killer,"While <i>Hex: Undying</i> is active, Survivors within {0} meters of any Dull Totem have their aura revealed.<br><br>When another Hex Totem is cleansed, that Totem's Hex transfers to the Hex: Undying Totem, deactivating Hex: Undying. Any tokens the transferred Hex had are transferred as well.","[['2', '3', '4']]",40,images/Perks/Yemen/iconPerks_hexUndying.png
Hex_Devour_Hope,,268435460,Hex: Devour Hope,Killer,"A Hex rooting its power on hope. The false hope of Survivors ignites your hunger.<br><br>When a Survivor is rescued from a hook at least 24 meters away, Devour Hope receives a token.<br><br><li>2 Tokens: Gain a {0}% <b><i>Haste</i></b> status effect, 10 seconds after hooking a Survivor, for a duration of 10 seconds.</li><li>3 Tokens: Survivors suffer from the <b><i>Exposed</i></b> status effect.</li><li>5 Tokens: Grants the ability to kill Survivors by your own hand.</li><br><br><i>The Hex effects persist as long as the related Hex Totem is standing.</i><br><br>Exposed Survivors will be downed by basic attacks even if uninjured.<br><br>Haste increases Killer movement speed.","[['3', '4', '5']]",40,images/Perks/DLC3/iconPerks_devourHope.png
Hex_HauntedGround,,268435468,Hex: Haunted Ground,Killer,"Two trapped Hex Totems will spawn in the trial.<br><br>When either one of the two trapped Hex Totems is cleansed by a Survivor, all Survivors suffer from the <b>Exposed</b> status effect for {0} seconds.<br><br>The remaining trapped Hex Totem immediately becomes a Dull Totem.<br><br>Exposed Survivors will be downed by basic attacks even if uninjured.","[['40', '50', '60']]",35,images/Perks/Haiti/iconPerks_hauntedGround.png
Hex_HuntressLullaby,,268435463,Hex: Huntress Lullaby,Killer,"A Hex rooting its power in despair. Your hunt is an irresistible song of dread which muddles your prey's attention.<br><br>Survivors receive a {0}% regression penalty when missing a Skill Check while healing or repairing.<br><br>Each time a Survivor is hooked, Huntress Lullaby grows in power. It affects healing and repairing Skill Check warnings:<br><br><li><b>1 to 4 Tokens:</b> Time between the Skill Check warning sound and the Skill Check becomes shorter.</li><li><b>5 Tokens:</b> No Skill Check warning.</li><br><br><i>The Hex effects persist as long as the related Hex Totem is standing.</i>","[['2', '4', '6']]",40,images/Perks/DLC5/iconPerks_HuntressLullaby.png
